,54.37,54.37.XL,SM.54.26,SM.54.28,SM.54.45,SM.54.45.XL,52.42,52.42.XL,52.81,52.97,LP.22.20,LP.22.48,LP.22.48.XL,LP.22.50,LP.22.54,LP.22.54.XL,SM.52.91,NL.2,NL.2.XL,total_count
ID=maker-645_pilon-augustus-gene-9.16;Name=maker-645_pilon-augustus-gene-9.16,1,,,,,,,1,,,,1,1,,,,,,,4
ID=snap-73069_pilon-processed-gene-5.63;Name=snap-73069_pilon-processed-gene-5.63,1,1,,1,,,1,,,,,,,1,,,1,,1,7
ID=maker-689_pilon-augustus-gene-7.0;Name=maker-689_pilon-augustus-gene-7.0,1,1,1,,1,1,,,,,,,,,,,,1,1,7
ID=evm-501_pilon-processed-gene-8.14;Name=evm-501_pilon-processed-gene-8.14,1,,,1,,,,,,,,,,,,,1,,1,4
ID=maker-377_pilon-exonerate_protein2genome-gene-20.23;Name=maker-377_pilon-exonerate_protein2genome-gene-20.23,1,1,1,1,,,1,,,,1,1,1,1,,,,,,9
ID=maker-377_pilon-snap-gene-21.192;Name=maker-377_pilon-snap-gene-21.192,1,1,,,,,,,,,1,1,1,,,,,,,5
ID=snap_masked-377_pilon-processed-gene-40.35;Name=snap_masked-377_pilon-processed-gene-40.35,1,,,,,,1,1,1,1,,,,,1,1,,,1,8
ID=maker-377_pilon-snap-gene-56.30;Name=maker-377_pilon-snap-gene-56.30,1,,,,,,,,,,1,,,,,,,,1,3
ID=maker-377_pilon-exonerate_est2genome-gene-56.36;Name=maker-377_pilon-exonerate_est2genome-gene-56.36,1,,,,,,,,,,1,,,,,,,,1,3
ID=augustus-802_pilon-processed-gene-2.69;Name=augustus-802_pilon-processed-gene-2.69,1,1,,1,,,1,1,,,1,,,,,,,,,6
ID=snap_masked-572_pilon-processed-gene-1.91;Name=snap_masked-572_pilon-processed-gene-1.91,1,1,1,1,1,1,,,,,,,,,,,,,,6
ID=maker-867_pilon-exonerate_est2genome-gene-50.55;Name=maker-867_pilon-exonerate_est2genome-gene-50.55,1,1,,1,,,1,1,,,1,,,,,,1,,,7
ID=snap-867_pilon-processed-gene-65.70;Name=snap-867_pilon-processed-gene-65.70,1,1,,1,,,,,1,,1,1,,,1,1,1,,,9
ID=snap-733_pilon-processed-gene-2.68;Name=snap-733_pilon-processed-gene-2.68,1,1,,,,,,,1,,,,,1,1,1,1,,,7
ID=augustus-783_pilon-processed-gene-3.19;Name=augustus-783_pilon-processed-gene-3.19,1,1,,1,,,,1,1,1,1,1,1,1,,1,,1,1,13
ID=snap-783_pilon-processed-gene-5.77;Name=snap-783_pilon-processed-gene-5.77,1,1,,,,,,,1,,,1,,1,1,,,,1,7
ID=augustus-268_pilon-processed-gene-40.28;Name=augustus-268_pilon-processed-gene-40.28,1,1,,,,,,,,,,,,,,,,,,2
ID=maker-268_pilon-snap-gene-66.62;Name=maker-268_pilon-snap-gene-66.62,1,,,1,,,,,,,,,,,,,,,1,3
ID=maker-268_pilon-snap-gene-119.17;Name=maker-268_pilon-snap-gene-119.17,1,,,,,,,,,1,,,,,1,,,1,,4
ID=snap-445_pilon-processed-gene-1.27;Name=snap-445_pilon-processed-gene-1.27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,18
ID=augustus-445_pilon-abinit-gene-153.24;Name=augustus-445_pilon-abinit-gene-153.24;score=0.2;target_length=9127476,1,,,1,,,1,1,,,1,1,1,,1,1,1,1,1,12
ID=snap-920_pilon-processed-gene-23.57;Name=snap-920_pilon-processed-gene-23.57,1,1,,1,,,,,,,,,,1,,,,,,4
ID=maker-920_pilon-augustus-gene-55.26;Name=maker-920_pilon-augustus-gene-55.26,1,1,,,,,,,,,,,,,,,,,,2
ID=maker-263_pilon-exonerate_protein2genome-gene-9.57;Name=maker-263_pilon-exonerate_protein2genome-gene-9.57,1,,,,,,,,,,,,1,,,,,,,2
ID=augustus_masked-263_pilon-processed-gene-42.69;Name=augustus_masked-263_pilon-processed-gene-42.69,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,,1,1,16
ID=maker-567_pilon-augustus-gene-1.65;Name=maker-567_pilon-augustus-gene-1.65,1,1,,,,,,,,,,,,,,,,,,2
ID=snap-519_pilon-processed-gene-3.102;Name=snap-519_pilon-processed-gene-3.102,1,1,,,,,,,,,,,,1,,,,,,3
ID=snap-717_pilon-processed-gene-4.17;Name=snap-717_pilon-processed-gene-4.17,1,,,1,,,,,,,1,,,,,,,1,,4
ID=maker-991_pilon-snap-gene-4.70;Name=maker-991_pilon-snap-gene-4.70,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,17
ID=maker-382_pilon-snap-gene-8.32;Name=maker-382_pilon-snap-gene-8.32,1,1,,,,,1,,,,,,,,,,,,,3
ID=snap-748_pilon-processed-gene-13.79;Name=snap-748_pilon-processed-gene-13.79,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,18
ID=evm-710_pilon-processed-gene-1.86;Name=evm-710_pilon-processed-gene-1.86,1,1,1,1,1,1,,,,,1,1,,1,,,1,,1,11
ID=maker-74153_pilon-snap-gene-0.4;Name=maker-74153_pilon-snap-gene-0.4,1,1,1,1,1,,,,,1,1,,,,,,,,,7
ID=maker-347_pilon-augustus-gene-2.0;Name=maker-347_pilon-augustus-gene-2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
ID=snap-442_pilon-processed-gene-1.130;Name=snap-442_pilon-processed-gene-1.130,1,1,,1,,,,1,,,,,,,,,1,,,5
ID=snap-215_pilon-processed-gene-5.14;Name=snap-215_pilon-processed-gene-5.14,1,1,1,1,,1,1,,,1,1,,1,,1,1,,,,11
ID=snap-215_pilon-processed-gene-44.51;Name=snap-215_pilon-processed-gene-44.51,1,,,,,,,,,,,,,,1,1,,,,3
ID=evm-215_pilon-processed-gene-34.23;Name=evm-215_pilon-processed-gene-34.23,1,1,,1,,,1,1,1,1,1,,1,1,1,1,1,,1,14
ID=augustus_masked-215_pilon-processed-gene-13.18;Name=augustus_masked-215_pilon-processed-gene-13.18,1,1,,,,,,,,,,,,,,,,1,,3
ID=snap-215_pilon-processed-gene-9.12;Name=snap-215_pilon-processed-gene-9.12,1,1,,,,,,,,,,,,,,,,,,2
ID=evm-453_pilon-processed-gene-0.26;Name=evm-453_pilon-processed-gene-0.26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
ID=maker-453_pilon-augustus-gene-9.77;Name=maker-453_pilon-augustus-gene-9.77,1,1,1,1,1,1,,,,,,,,1,,,,,,7
ID=maker-453_pilon-snap-gene-14.37;Name=maker-453_pilon-snap-gene-14.37,1,,,1,,,1,1,1,1,1,1,1,,1,1,1,,1,13
ID=maker-453_pilon-snap-gene-16.154;Name=maker-453_pilon-snap-gene-16.154,1,1,,1,,,,,,,,,,,,,,,,3
ID=snap-351_pilon-processed-gene-6.50;Name=snap-351_pilon-processed-gene-6.50,1,,,,,,,,,,,,,,,,,,,1
ID=maker-351_pilon-exonerate_est2genome-gene-6.0;Name=maker-351_pilon-exonerate_est2genome-gene-6.0,1,,,,,,,,,,,,,,,,,,,1
ID=augustus_masked-375_pilon-abinit-gene-19.30;Name=augustus_masked-375_pilon-abinit-gene-19.30;score=0.04;target_length=2848261,1,,,,,,,,,,,,,,,,,,,1
ID=snap_masked-883_pilon-processed-gene-2.12;Name=snap_masked-883_pilon-processed-gene-2.12,1,,,,,,,,,,,,,,,,,1,,2
ID=snap-73771_pilon-processed-gene-0.122;Name=snap-73771_pilon-processed-gene-0.122,1,1,,,,,,,,,,,,1,,,,,,3
ID=snap_masked-780_pilon-processed-gene-39.55;Name=snap_masked-780_pilon-processed-gene-39.55,1,1,1,1,,1,,1,,,,,,1,,,1,,,8
ID=snap_masked-438_pilon-processed-gene-0.0;Name=snap_masked-438_pilon-processed-gene-0.0,1,1,1,1,1,1,,,1,1,,1,1,1,,1,1,1,1,15
ID=maker-438_pilon-exonerate_est2genome-gene-11.18;Name=maker-438_pilon-exonerate_est2genome-gene-11.18,1,,,1,1,1,,,1,1,1,1,1,1,1,,1,1,,13
ID=evm-718_pilon-processed-gene-1.91;Name=evm-718_pilon-processed-gene-1.91,1,,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,16
ID=maker-368_pilon-snap-gene-1.32;Name=maker-368_pilon-snap-gene-1.32,1,1,,1,,,,,,1,1,,,1,1,1,1,1,1,11
ID=maker-368_pilon-augustus-gene-3.1;Name=maker-368_pilon-augustus-gene-3.1,1,1,,,,,1,1,,,,,,1,1,1,1,,,8
ID=maker-368_pilon-snap-gene-3.5;Name=maker-368_pilon-snap-gene-3.5,1,1,,1,,,1,1,,,,,,1,1,1,1,,,9
ID=snap-368_pilon-processed-gene-4.11;Name=snap-368_pilon-processed-gene-4.11,1,1,,,,,,,,,1,,,,,,1,1,1,6
ID=snap_masked-368_pilon-processed-gene-13.117;Name=snap_masked-368_pilon-processed-gene-13.117,1,,,,,,,,,,,,,,,,,,,1
ID=maker-70579_pilon-snap-gene-0.9;Name=maker-70579_pilon-snap-gene-0.9,1,1,,,,,,,,,1,,,,,,,,,3
ID=augustus_masked-372_pilon-processed-gene-7.107;Name=augustus_masked-372_pilon-processed-gene-7.107,1,,,1,,,1,,1,,,1,,1,,1,1,,,8
ID=snap_masked-692_pilon-processed-gene-1.24;Name=snap_masked-692_pilon-processed-gene-1.24,1,,,,,,,,,,,,,,,,,,,1
ID=maker-582_pilon-augustus-gene-3.59;Name=maker-582_pilon-augustus-gene-3.59,1,1,1,,1,1,,,,1,1,1,,,,,,,,8
ID=augustus-455_pilon-processed-gene-1.30;Name=augustus-455_pilon-processed-gene-1.30,1,1,,,,,1,1,,,,1,1,1,1,,,1,1,10
ID=evm-779_pilon-processed-gene-2.70;Name=evm-779_pilon-processed-gene-2.70,1,,,,,,,,,,,,,,,,,,,1
ID=snap-791_pilon-processed-gene-5.64;Name=snap-791_pilon-processed-gene-5.64,1,1,,,,,,,,,1,,1,,,,1,1,1,7
ID=maker-431_pilon-augustus-gene-3.72;Name=maker-431_pilon-augustus-gene-3.72,1,1,,,,,1,,,,1,1,1,1,,,1,,,8
ID=maker-431_pilon-snap-gene-17.220;Name=maker-431_pilon-snap-gene-17.220,1,1,,,,,,,,,1,,,,,,,,,3
ID=augustus-216_pilon-processed-gene-52.10;Name=augustus-216_pilon-processed-gene-52.10,1,1,,,,,,,,,,1,1,,,,,,,4
ID=augustus-420_pilon-processed-gene-13.83;Name=augustus-420_pilon-processed-gene-13.83,1,1,,,,,1,1,1,1,1,,1,,1,1,1,,1,12
ID=augustus-420_pilon-processed-gene-15.23;Name=augustus-420_pilon-processed-gene-15.23,1,,,,,,,,,,,1,1,,,,,,,3
ID=augustus-379_pilon-processed-gene-24.67;Name=augustus-379_pilon-processed-gene-24.67,1,1,,,,1,,,,,,,,,,,,,,3
ID=snap-715_pilon-processed-gene-5.56;Name=snap-715_pilon-processed-gene-5.56,1,1,,,,,,,1,1,,,,,1,1,1,,,7
ID=snap_masked-715_pilon-processed-gene-5.122;Name=snap_masked-715_pilon-processed-gene-5.122,1,1,,,1,,1,,,,,,1,,,,,1,,6
ID=snap_masked-798_pilon-processed-gene-1.8;Name=snap_masked-798_pilon-processed-gene-1.8,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,18
ID=snap-433_pilon-processed-gene-13.24;Name=snap-433_pilon-processed-gene-13.24,1,1,,1,,,1,,,,,,,,,,,,,4
ID=maker-447_pilon-snap-gene-6.178;Name=maker-447_pilon-snap-gene-6.178,1,1,,,,,1,,,1,1,1,,,1,1,1,,1,10
ID=maker-299_pilon-augustus-gene-11.0;Name=maker-299_pilon-augustus-gene-11.0,1,1,,,,,,,1,,1,1,1,1,1,1,1,,,10
ID=augustus-299_pilon-processed-gene-11.97;Name=augustus-299_pilon-processed-gene-11.97,1,1,1,,,,1,1,1,,1,1,1,,1,1,1,1,1,14
ID=augustus-299_pilon-processed-gene-16.108;Name=augustus-299_pilon-processed-gene-16.108,1,1,1,,1,1,1,1,1,1,,1,1,1,,1,1,,,14
ID=evm-299_pilon-processed-gene-21.38;Name=evm-299_pilon-processed-gene-21.38,1,,1,,,,,,1,,,,1,,1,1,1,1,1,9
ID=maker-450_pilon-snap-gene-17.0;Name=maker-450_pilon-snap-gene-17.0,1,,,,,,,,1,,,,,,,1,,,,3
ID=maker-639_pilon-snap-gene-0.48;Name=maker-639_pilon-snap-gene-0.48,1,1,1,1,1,1,,,,,,,,1,,,,,,7
ID=maker-345_pilon-augustus-gene-27.67;Name=maker-345_pilon-augustus-gene-27.67,1,,,1,,,1,,,,1,1,,,1,,1,,,7
ID=maker-316_pilon-snap-gene-30.4;Name=maker-316_pilon-snap-gene-30.4,1,,,,,,,,,,,,,,,,,,,1
ID=maker-316_pilon-exonerate_est2genome-gene-32.0;Name=maker-316_pilon-exonerate_est2genome-gene-32.0,1,1,,,,,,,,,1,,,,,,,,,3
ID=maker-700_pilon-snap-gene-3.103;Name=maker-700_pilon-snap-gene-3.103,1,1,,,1,,,,,1,1,1,,1,,1,1,,1,10
ID=snap-267_pilon-processed-gene-7.39;Name=snap-267_pilon-processed-gene-7.39,1,1,1,,1,1,,,,1,,1,,1,1,1,,1,1,12
ID=snap-369_pilon-processed-gene-2.53;Name=snap-369_pilon-processed-gene-2.53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
ID=augustus-770_pilon-processed-gene-9.84;Name=augustus-770_pilon-processed-gene-9.84,1,1,,,,,,,,,1,,,,,,1,,,4
ID=maker-348_pilon-augustus-gene-27.139;Name=maker-348_pilon-augustus-gene-27.139,1,,,,,,,1,,1,,,1,,,,,,,4
ID=evm-727_pilon-processed-gene-1.46;Name=evm-727_pilon-processed-gene-1.46,1,1,,,,,,1,,1,,,,1,,,,,,5
ID=evm-616_pilon-processed-gene-10.50;Name=evm-616_pilon-processed-gene-10.50,1,,,1,,,,1,,,,,,,,,,1,,4
ID=snap-414_pilon-processed-gene-13.33;Name=snap-414_pilon-processed-gene-13.33,1,1,,1,,,,,,,,1,1,1,,,1,,,7
ID=snap_masked-414_pilon-processed-gene-23.16;Name=snap_masked-414_pilon-processed-gene-23.16,1,1,,,1,,1,1,1,,1,,1,1,1,1,1,,,12
ID=augustus-792_pilon-processed-gene-7.102;Name=augustus-792_pilon-processed-gene-7.102,1,1,,,,,,,,,,1,1,,,,,,,4
ID=snap_masked-897_pilon-processed-gene-5.8;Name=snap_masked-897_pilon-processed-gene-5.8,1,,,,,,,,1,1,1,,,1,1,,,1,1,8
ID=maker-679_pilon-snap-gene-5.44;Name=maker-679_pilon-snap-gene-5.44,1,,,,,,,,,,,,,1,,,1,1,,4
ID=snap_masked-679_pilon-processed-gene-6.37;Name=snap_masked-679_pilon-processed-gene-6.37,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,17
ID=snap-449_pilon-processed-gene-4.104;Name=snap-449_pilon-processed-gene-4.104,1,,,,,,,,,,,,,,,,,,,1
ID=snap-457_pilon-processed-gene-14.93;Name=snap-457_pilon-processed-gene-14.93,1,1,,,,,,,1,1,,,,,1,1,,,,6
ID=snap_masked-878_pilon-processed-gene-4.8;Name=snap_masked-878_pilon-processed-gene-4.8,1,1,1,1,,,1,,1,1,,1,,1,,,1,,,10
ID=snap-878_pilon-processed-gene-10.155;Name=snap-878_pilon-processed-gene-10.155,1,,1,,1,,,,,,1,1,1,1,,,,1,,8
ID=snap-925_pilon-processed-gene-1.43;Name=snap-925_pilon-processed-gene-1.43,1,1,,1,,,,,1,,1,,,1,1,1,1,,,9
ID=maker-266_pilon-exonerate_est2genome-gene-26.83;Name=maker-266_pilon-exonerate_est2genome-gene-26.83,1,1,1,,1,1,1,1,1,1,,1,1,,1,,1,,,13
ID=maker-266_pilon-snap-gene-26.62;Name=maker-266_pilon-snap-gene-26.62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,18
ID=augustus-266_pilon-processed-gene-43.153;Name=augustus-266_pilon-processed-gene-43.153,1,1,,,,,,,,,,,,,,,,,,2
ID=augustus_masked-266_pilon-processed-gene-59.246;Name=augustus_masked-266_pilon-processed-gene-59.246,1,1,,,,,1,1,,,1,1,1,1,,,,1,,9
ID=maker-74838_pilon-snap-gene-4.15;Name=maker-74838_pilon-snap-gene-4.15,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,18
ID=maker-789_pilon-augustus-gene-1.58;Name=maker-789_pilon-augustus-gene-1.58,1,1,,,,,,,,,,,,,,,1,1,1,5
ID=maker-827_pilon-snap-gene-3.35;Name=maker-827_pilon-snap-gene-3.35,1,,1,1,1,1,1,1,1,,1,,,1,1,1,1,,1,14
ID=maker-827_pilon-exonerate_protein2genome-gene-4.10;Name=maker-827_pilon-exonerate_protein2genome-gene-4.10,1,,,1,,,1,1,1,1,1,1,1,1,1,1,1,,1,14
ID=maker-827_pilon-augustus-gene-5.42;Name=maker-827_pilon-augustus-gene-5.42,1,1,,,,,1,1,,,,,,,,,,,,4
ID=snap-592_pilon-processed-gene-9.32;Name=snap-592_pilon-processed-gene-9.32,1,1,,,,,,,,,1,,,,,,,,,3
ID=snap-437_pilon-processed-gene-2.95;Name=snap-437_pilon-processed-gene-2.95,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,,1,1,16
ID=snap-437_pilon-processed-gene-12.12;Name=snap-437_pilon-processed-gene-12.12,1,1,1,1,1,1,1,1,,,,,,,,,1,1,1,11
ID=augustus_masked-437_pilon-processed-gene-24.75;Name=augustus_masked-437_pilon-processed-gene-24.75,1,1,,1,,,1,1,1,1,,1,,,1,1,,,,10
ID=snap_masked-437_pilon-processed-gene-24.39;Name=snap_masked-437_pilon-processed-gene-24.39,1,1,,1,,,1,1,1,1,,1,,,1,1,,,,10
ID=augustus-499_pilon-processed-gene-6.13;Name=augustus-499_pilon-processed-gene-6.13,1,,,,,,,,,,,,,,,,1,,,2
ID=maker-499_pilon-augustus-gene-13.121;Name=maker-499_pilon-augustus-gene-13.121,1,1,,,,,,,,,,,,,,,,,,2
ID=snap_masked-575_pilon-processed-gene-5.77;Name=snap_masked-575_pilon-processed-gene-5.77,1,1,,1,,,1,1,,,1,,,1,,,,,,7
ID=augustus_masked-575_pilon-abinit-gene-12.18;Name=augustus_masked-575_pilon-abinit-gene-12.18;score=0.1;target_length=2450535,1,1,,,,,1,1,,1,1,,,1,,,,,,7
ID=snap-575_pilon-processed-gene-20.39;Name=snap-575_pilon-processed-gene-20.39,1,1,1,1,,,,,1,,,1,,,,1,1,,1,9
ID=maker-697_pilon-augustus-gene-1.117;Name=maker-697_pilon-augustus-gene-1.117,1,1,1,,1,1,,1,,1,1,1,1,,,,1,1,1,13
ID=evm-697_pilon-processed-gene-1.96;Name=evm-697_pilon-processed-gene-1.96,1,1,,1,,,,1,,,,,1,,,,,1,1,7
ID=maker-721_pilon-augustus-gene-11.139;Name=maker-721_pilon-augustus-gene-11.139,1,1,,,,,,,,,,,,,,,,,,2
ID=snap-721_pilon-processed-gene-13.41;Name=snap-721_pilon-processed-gene-13.41,1,1,,1,,,1,1,1,1,,1,1,1,1,1,1,1,,14
ID=snap_masked-313_pilon-processed-gene-1.120;Name=snap_masked-313_pilon-processed-gene-1.120,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,18
ID=snap-72890_pilon-processed-gene-0.38;Name=snap-72890_pilon-processed-gene-0.38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
ID=augustus-72890_pilon-processed-gene-0.5;Name=augustus-72890_pilon-processed-gene-0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
ID=snap_masked-357_pilon-processed-gene-2.46;Name=snap_masked-357_pilon-processed-gene-2.46,1,,,,,,,1,1,,1,,,,,,,,,4
ID=maker-357_pilon-snap-gene-13.56;Name=maker-357_pilon-snap-gene-13.56,1,1,1,,1,1,,,,,1,1,1,,,,1,1,1,11
ID=maker-357_pilon-augustus-gene-14.55;Name=maker-357_pilon-augustus-gene-14.55,1,,,,,,1,1,,,,,,1,,,,,1,5
ID=augustus-352_pilon-processed-gene-12.55;Name=augustus-352_pilon-processed-gene-12.55,1,1,,1,,,,,,,,,,,,,,,,3
ID=augustus-352_pilon-processed-gene-20.97;Name=augustus-352_pilon-processed-gene-20.97,1,1,,,,,,,,,,,,,,,,1,,3
ID=maker-352_pilon-augustus-gene-39.73;Name=maker-352_pilon-augustus-gene-39.73,1,1,,,,,,,,,,,,,,,,,,2
ID=maker-73014_pilon-snap-gene-1.0;Name=maker-73014_pilon-snap-gene-1.0,1,,,,,,,,,,,,,,,,,,,1
ID=snap-695_pilon-processed-gene-25.114;Name=snap-695_pilon-processed-gene-25.114,1,,,,,,,,,,,,,,,,,,,1
ID=maker-361_pilon-augustus-gene-35.44;Name=maker-361_pilon-augustus-gene-35.44,1,1,,,,,,,,,,,,,,,,,,2
ID=snap-70036_pilon-processed-gene-0.90;Name=snap-70036_pilon-processed-gene-0.90,1,,,,,,,,,,,,,,,,,,,1
ID=maker-429_pilon-augustus-gene-13.71;Name=maker-429_pilon-augustus-gene-13.71,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,,1,1,16
ID=snap-686_pilon-processed-gene-1.41;Name=snap-686_pilon-processed-gene-1.41,1,1,,,,,1,1,,,1,,,1,,,1,,,7
ID=augustus-72688_pilon-processed-gene-0.71;Name=augustus-72688_pilon-processed-gene-0.71,1,1,,,,1,1,1,1,1,1,1,1,,1,1,,1,1,14
ID=augustus-426_pilon-processed-gene-13.58;Name=augustus-426_pilon-processed-gene-13.58,1,1,,1,,,1,1,,,,,,,,,,1,1,7
ID=maker-426_pilon-exonerate_protein2genome-gene-13.49;Name=maker-426_pilon-exonerate_protein2genome-gene-13.49,1,1,,,,,,,,,,,,,,1,,,,3
ID=snap-426_pilon-processed-gene-23.11;Name=snap-426_pilon-processed-gene-23.11,1,1,,1,,,,1,1,,,,,1,,,,,,6
ID=snap-606_pilon-processed-gene-36.42;Name=snap-606_pilon-processed-gene-36.42,1,,1,,,1,,,,1,1,1,,,,,,,,6
ID=snap-606_pilon-processed-gene-44.62;Name=snap-606_pilon-processed-gene-44.62,1,1,,,,,1,,,,,1,,,,,,,1,5
ID=maker-606_pilon-exonerate_est2genome-gene-94.1;Name=maker-606_pilon-exonerate_est2genome-gene-94.1,1,,,,,,,,,,,,,,,,,,,1
ID=maker-606_pilon-exonerate_protein2genome-gene-96.11;Name=maker-606_pilon-exonerate_protein2genome-gene-96.11,1,1,,,,,1,1,1,1,,,,,1,1,,,,8
ID=snap-338_pilon-processed-gene-2.39;Name=snap-338_pilon-processed-gene-2.39,1,1,,1,,,,,,,,,,,,,,,,3
ID=snap-338_pilon-processed-gene-2.41;Name=snap-338_pilon-processed-gene-2.41,1,1,,1,,,1,1,,1,,,,,1,1,,,,8
ID=maker-73049_pilon-snap-gene-2.12;Name=maker-73049_pilon-snap-gene-2.12,1,1,,1,,,,,,,,1,1,1,,,,,,6
ID=snap-373_pilon-processed-gene-3.35;Name=snap-373_pilon-processed-gene-3.35,1,,,,,,,,,,,,,,,,,,,1
ID=snap-376_pilon-processed-gene-6.19;Name=snap-376_pilon-processed-gene-6.19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
ID=snap-376_pilon-processed-gene-6.20;Name=snap-376_pilon-processed-gene-6.20,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,16
ID=augustus-671_pilon-processed-gene-0.73;Name=augustus-671_pilon-processed-gene-0.73,1,,,,,,,,1,1,,,,1,1,1,,1,1,8
ID=snap_masked-671_pilon-processed-gene-1.1;Name=snap_masked-671_pilon-processed-gene-1.1,1,,,,,,,,,,,,,,,,,,,1
ID=snap-671_pilon-processed-gene-1.5;Name=snap-671_pilon-processed-gene-1.5,1,1,1,,1,1,,,1,1,,1,1,1,1,1,1,,,13
ID=evm-383_pilon-processed-gene-19.98;Name=evm-383_pilon-processed-gene-19.98,1,1,,,,,,,,,1,1,,,,,1,,,5
ID=maker-383_pilon-snap-gene-19.114;Name=maker-383_pilon-snap-gene-19.114,1,1,,,,,,,,,1,,,,,,,,,3
ID=maker-656_pilon-augustus-gene-6.2;Name=maker-656_pilon-augustus-gene-6.2,1,1,,,,,,,,,,,,,,,,,,2
ID=snap-976_pilon-processed-gene-11.72;Name=snap-976_pilon-processed-gene-11.72,1,1,,,,,,,,,,,,,,,,1,1,4
ID=snap-976_pilon-processed-gene-28.22;Name=snap-976_pilon-processed-gene-28.22,1,1,,1,,,,,1,1,,,,1,1,1,,,,8
ID=snap-976_pilon-processed-gene-28.23;Name=snap-976_pilon-processed-gene-28.23,1,1,,1,,,,,1,1,1,1,1,1,1,1,,,,11
ID=augustus-482_pilon-processed-gene-2.53;Name=augustus-482_pilon-processed-gene-2.53,1,,,,,,,,,,,,,1,,,,,,2
ID=snap_masked-360_pilon-processed-gene-17.16;Name=snap_masked-360_pilon-processed-gene-17.16,1,1,,,,,,,,,,,,,,,,,,2
