all_go_terms,genes,dnds
GO:0005515,augustus_masked-995_pilon-processed-gene-0.29,1.22218890284687
GO:0009055,maker-345_pilon-snap-gene-90.39,1.20215926654557
GO:0017025,maker-346_pilon-snap-gene-12.57,1.20117286381577
GO:0005515,maker-1009_pilon-snap-gene-1.41,1.19459131954383
GO:0006508,snap-796_pilon-processed-gene-0.37,1.18986718114141
GO:0008236,snap-796_pilon-processed-gene-0.37,1.18986718114141
GO:0005975,maker-73960_pilon-snap-gene-0.28,1.14929913810016
GO:0003700,snap_masked-870_pilon-processed-gene-0.75,1.14651274588682
GO:0006355,snap_masked-870_pilon-processed-gene-0.75,1.14651274588682
GO:0043565,snap_masked-870_pilon-processed-gene-0.75,1.14651274588682
GO:0009415,snap-708_pilon-processed-gene-6.46,1.14325938939046
GO:0005524,snap-809_pilon-processed-gene-2.116,1.13544476673083
GO:0004672,snap-809_pilon-processed-gene-2.116,1.13544476673083
GO:0006468,snap-809_pilon-processed-gene-2.116,1.13544476673083
GO:0006629,augustus_masked-637_pilon-processed-gene-2.26,1.12243889090002
GO:0005515,snap_masked-353_pilon-processed-gene-28.304,1.12181535471371
GO:0005509,augustus-315_pilon-processed-gene-11.29,1.11949468529962
GO:0016020,augustus-901_pilon-processed-gene-6.38,1.10759857434971
GO:0005975,augustus_masked-261_pilon-processed-gene-43.75,1.10710917546597
GO:0008146,snap-379_pilon-processed-gene-0.52,1.08454155435669
GO:0004842,maker-316_pilon-augustus-gene-49.1,1.08373928402618
GO:0016567,maker-316_pilon-augustus-gene-49.1,1.08373928402618
GO:0005515,augustus-238811_pilon-processed-gene-0.3,1.08061022992088
GO:0016020,maker-781_pilon-snap-gene-11.0,1.07800912666481
GO:0005524,maker-261_pilon-snap-gene-24.32,1.05936538840529
GO:0016887,maker-261_pilon-snap-gene-24.32,1.05936538840529
GO:0003700,snap-266_pilon-processed-gene-38.90,1.05719857369529
GO:0006355,snap-266_pilon-processed-gene-38.90,1.05719857369529
GO:0005515,snap_masked-216_pilon-processed-gene-20.54,1.05471965173308
GO:0051087,snap_masked-216_pilon-processed-gene-20.54,1.05471965173308
GO:0005975,snap_masked-263_pilon-processed-gene-33.31,1.05420823763076
GO:0003700,augustus-268_pilon-processed-gene-6.48,1.05105604055967
GO:0006355,augustus-268_pilon-processed-gene-6.48,1.05105604055967
GO:0043565,augustus-268_pilon-processed-gene-6.48,1.05105604055967
GO:0004601,maker-173023_pilon-augustus-gene-0.5,1.05104121077624
GO:0006979,maker-173023_pilon-augustus-gene-0.5,1.05104121077624
GO:0020037,maker-173023_pilon-augustus-gene-0.5,1.05104121077624
GO:0005515,snap-268_pilon-processed-gene-76.136,1.0432090838871
GO:0004672,snap-268_pilon-processed-gene-76.136,1.0432090838871
GO:0006468,snap-268_pilon-processed-gene-76.136,1.0432090838871
GO:0016020,maker-717_pilon-augustus-gene-11.16,1.03982765713083
GO:0015031,maker-717_pilon-augustus-gene-11.16,1.03982765713083
GO:0043531,snap_masked-72233_pilon-processed-gene-0.33,1.03486699928524
GO:0005515,augustus-69479_pilon-processed-gene-0.7,1.03372107958966
GO:0003700,augustus_masked-383_pilon-processed-gene-12.39,1.03304877590144
GO:0006355,augustus_masked-383_pilon-processed-gene-12.39,1.03304877590144
GO:0046983,augustus_masked-383_pilon-processed-gene-12.39,1.03304877590144
GO:0005634,augustus_masked-383_pilon-processed-gene-12.39,1.03304877590144
GO:0003677,augustus_masked-383_pilon-processed-gene-12.39,1.03304877590144
GO:0006508,snap-377_pilon-processed-gene-18.128,1.03176306454082
GO:0008234,snap-377_pilon-processed-gene-18.128,1.03176306454082
GO:0000123,maker-780_pilon-snap-gene-16.75,1.0316776746998
GO:0016573,maker-780_pilon-snap-gene-16.75,1.0316776746998
GO:0005515,augustus-107224_pilon-processed-gene-0.11,1.02449012751999
GO:0005524,snap-312_pilon-processed-gene-3.73,1.01988099901345
GO:0004672,snap-312_pilon-processed-gene-3.73,1.01988099901345
GO:0006468,snap-312_pilon-processed-gene-3.73,1.01988099901345
GO:0006511,augustus-936_pilon-processed-gene-1.77,1.01489658817588
GO:0020037,evm-996_pilon-processed-gene-2.46,1.01325811910024
GO:0004497,evm-996_pilon-processed-gene-2.46,1.01325811910024
GO:0005506,evm-996_pilon-processed-gene-2.46,1.01325811910024
GO:0016705,evm-996_pilon-processed-gene-2.46,1.01325811910024
GO:0016757,augustus_masked-485_pilon-processed-gene-4.18,1.01318572508451
GO:0046983,augustus_masked-878_pilon-processed-gene-7.63,1.01309263670365
GO:0003677,augustus_masked-878_pilon-processed-gene-7.63,1.01309263670365
GO:0016020,snap-720_pilon-processed-gene-2.73,0.998120815560924
GO:0005515,augustus-880_pilon-processed-gene-1.20,0.991254876359434
GO:0003700,snap-819_pilon-processed-gene-5.51,0.982098436943122
GO:0006355,snap-819_pilon-processed-gene-5.51,0.982098436943122
GO:0016020,snap-384_pilon-processed-gene-31.0,0.976973064741241
GO:0005975,maker-526_pilon-snap-gene-6.50,0.971273094936741
GO:0004560,maker-526_pilon-snap-gene-6.50,0.971273094936741
GO:0003677,maker-547_pilon-snap-gene-15.60,0.97122653910342
GO:0003700,maker-261_pilon-snap-gene-48.69,0.961540411183598
GO:0006355,maker-261_pilon-snap-gene-48.69,0.961540411183598
GO:0043565,maker-261_pilon-snap-gene-48.69,0.961540411183598
GO:0005524,maker-606_pilon-snap-gene-92.90,0.958906594724887
GO:0003676,maker-606_pilon-snap-gene-92.90,0.958906594724887
GO:0005515,snap-63539_pilon-processed-gene-0.1,0.956535082124252
GO:0004601,snap-598_pilon-processed-gene-5.84,0.953553566066727
GO:0006979,snap-598_pilon-processed-gene-5.84,0.953553566066727
GO:0020037,snap-598_pilon-processed-gene-5.84,0.953553566066727
GO:0005975,maker-445_pilon-augustus-gene-4.34,0.947040573572706
GO:0004650,maker-445_pilon-augustus-gene-4.34,0.947040573572706
GO:0004499,maker-445_pilon-snap-gene-109.26,0.94373699711974
GO:0050660,maker-445_pilon-snap-gene-109.26,0.94373699711974
GO:0050661,maker-445_pilon-snap-gene-109.26,0.94373699711974
GO:0005515,snap-352_pilon-processed-gene-10.34,0.941220202769217
GO:0004672,maker-778_pilon-augustus-gene-19.70,0.940023752159419
GO:0006468,maker-778_pilon-augustus-gene-19.70,0.940023752159419
GO:0004672,augustus-606_pilon-processed-gene-70.79,0.937752600091969
GO:0006468,augustus-606_pilon-processed-gene-70.79,0.937752600091969
GO:0004553,maker-991_pilon-augustus-gene-8.168,0.9339777785095
GO:0071704,maker-991_pilon-augustus-gene-8.168,0.9339777785095
GO:0003723,maker-381_pilon-snap-gene-1.61,0.925986416688785
GO:0009415,maker-614_pilon-snap-gene-0.2,0.920651717159412
GO:0043531,augustus-73166_pilon-processed-gene-0.10,0.913325964980792
GO:0020037,maker-64871_pilon-snap-gene-0.2,0.909105901109058
GO:0004497,maker-64871_pilon-snap-gene-0.2,0.909105901109058
GO:0005506,maker-64871_pilon-snap-gene-0.2,0.909105901109058
GO:0016705,maker-64871_pilon-snap-gene-0.2,0.909105901109058
GO:0005515,augustus_masked-499_pilon-processed-gene-4.4,0.908622749687704
GO:0005515,snap-346_pilon-processed-gene-25.36,0.902031539633283
GO:0005515,maker-353_pilon-augustus-gene-42.60,0.899010868181262
GO:0003676,augustus-73666_pilon-processed-gene-3.61,0.897912563075399
GO:0008270,augustus-73666_pilon-processed-gene-3.61,0.897912563075399
GO:0005515,maker-68432_pilon-snap-gene-0.7,0.896924304755014
GO:0005643,evm-684_pilon-processed-gene-0.77,0.886957511970252
GO:0016973,evm-684_pilon-processed-gene-0.77,0.886957511970252
GO:0016020,maker-338_pilon-augustus-gene-5.75,0.879880825172062
GO:0055085,maker-338_pilon-augustus-gene-5.75,0.879880825172062
GO:0022857,maker-338_pilon-augustus-gene-5.75,0.879880825172062
GO:0003735,maker-338_pilon-augustus-gene-5.75,0.879880825172062
GO:0005840,maker-338_pilon-augustus-gene-5.75,0.879880825172062
GO:0006412,maker-338_pilon-augustus-gene-5.75,0.879880825172062
GO:0005524,snap-268_pilon-processed-gene-106.1,0.8787268438141
GO:0004672,snap-268_pilon-processed-gene-106.1,0.8787268438141
GO:0006468,snap-268_pilon-processed-gene-106.1,0.8787268438141
GO:0004601,maker-69771_pilon-snap-gene-0.48,0.876956644120061
GO:0006979,maker-69771_pilon-snap-gene-0.48,0.876956644120061
GO:0020037,maker-69771_pilon-snap-gene-0.48,0.876956644120061
GO:0016020,maker-433_pilon-snap-gene-14.157,0.874462582418486
GO:0016760,maker-433_pilon-snap-gene-14.157,0.874462582418486
GO:0030244,maker-433_pilon-snap-gene-14.157,0.874462582418486
GO:0006508,snap-170287_pilon-processed-gene-0.5,0.874250365837827
GO:0004222,snap-170287_pilon-processed-gene-0.5,0.874250365837827
GO:0003682,augustus-353_pilon-processed-gene-101.100,0.87296894136826
GO:0016020,snap-70985_pilon-processed-gene-0.96,0.871955847211078
GO:0009579,snap-70985_pilon-processed-gene-0.96,0.871955847211078
GO:0015979,snap-70985_pilon-processed-gene-0.96,0.871955847211078
GO:0003700,snap-445_pilon-processed-gene-5.72,0.869146138460162
GO:0006355,snap-445_pilon-processed-gene-5.72,0.869146138460162
GO:0043531,maker-73187_pilon-snap-gene-9.31,0.86671604560987
GO:0016651,maker-73566_pilon-snap-gene-0.369,0.864243276093306
GO:0048038,maker-73566_pilon-snap-gene-0.369,0.864243276093306
GO:0051287,maker-73566_pilon-snap-gene-0.369,0.864243276093306
GO:0005737,maker-714_pilon-snap-gene-27.2,0.858465309919324
GO:0000287,maker-714_pilon-snap-gene-27.2,0.858465309919324
GO:0004427,maker-714_pilon-snap-gene-27.2,0.858465309919324
GO:0006796,maker-714_pilon-snap-gene-27.2,0.858465309919324
GO:0030247,maker-1036_pilon-snap-gene-5.54,0.856253961619565
GO:0005509,maker-1036_pilon-snap-gene-5.54,0.856253961619565
GO:0046983,maker-263_pilon-augustus-gene-22.67,0.851036890718874
GO:0004672,augustus-61580_pilon-processed-gene-0.2,0.847629480295365
GO:0006468,augustus-61580_pilon-processed-gene-0.2,0.847629480295365
GO:0004842,augustus-61580_pilon-processed-gene-0.2,0.847629480295365
GO:0016567,augustus-61580_pilon-processed-gene-0.2,0.847629480295365
GO:0009055,maker-578_pilon-snap-gene-0.53,0.845177035025622
GO:0016020,augustus_masked-65895_pilon-processed-gene-0.3,0.844294445152768
GO:0015979,augustus_masked-65895_pilon-processed-gene-0.3,0.844294445152768
GO:0009523,augustus_masked-65895_pilon-processed-gene-0.3,0.844294445152768
GO:0005515,maker-435_pilon-snap-gene-20.2,0.841720520598765
GO:0000160,augustus-375_pilon-processed-gene-6.82,0.829801280259544
GO:0016020,maker-268_pilon-augustus-gene-86.5,0.821817113104655
GO:0015743,maker-377_pilon-augustus-gene-63.75,0.816787690015608
GO:0005524,maker-353_pilon-augustus-gene-82.26,0.809983959027531
GO:0016887,maker-353_pilon-augustus-gene-82.26,0.809983959027531
GO:0005524,augustus-312_pilon-processed-gene-28.43,0.809339331307732
GO:0004672,augustus-312_pilon-processed-gene-28.43,0.809339331307732
GO:0006468,augustus-312_pilon-processed-gene-28.43,0.809339331307732
GO:0008270,maker-428_pilon-snap-gene-3.1,0.80878045791544
GO:0005524,maker-414_pilon-snap-gene-2.80,0.802289922159667
GO:0004672,maker-414_pilon-snap-gene-2.80,0.802289922159667
GO:0006468,maker-414_pilon-snap-gene-2.80,0.802289922159667
GO:0003723,maker-311_pilon-augustus-gene-14.71,0.801679040190243
GO:0016491,augustus_masked-268_pilon-abinit-gene-25.27,0.800007383799162
GO:0016020,maker-267_pilon-augustus-gene-37.50,0.798650249962764
GO:0055085,maker-267_pilon-augustus-gene-37.50,0.798650249962764
GO:0022857,maker-267_pilon-augustus-gene-37.50,0.798650249962764
GO:0005524,augustus-378_pilon-processed-gene-15.18,0.796318921670894
GO:0004672,augustus-378_pilon-processed-gene-15.18,0.796318921670894
GO:0006468,augustus-378_pilon-processed-gene-15.18,0.796318921670894
GO:0006457,maker-688_pilon-augustus-gene-13.25,0.795173265042216
GO:0015031,maker-688_pilon-augustus-gene-13.25,0.795173265042216
GO:0004672,augustus_masked-63980_pilon-processed-gene-0.7,0.794844104322709
GO:0006468,augustus_masked-63980_pilon-processed-gene-0.7,0.794844104322709
GO:0009055,maker-501_pilon-augustus-gene-0.26,0.793811032997007
GO:0003700,maker-605_pilon-snap-gene-4.12,0.792457351415275
GO:0006355,maker-605_pilon-snap-gene-4.12,0.792457351415275
GO:0046983,maker-605_pilon-snap-gene-4.12,0.792457351415275
GO:0005634,maker-605_pilon-snap-gene-4.12,0.792457351415275
GO:0003677,maker-605_pilon-snap-gene-4.12,0.792457351415275
GO:0005515,maker-975_pilon-snap-gene-27.30,0.787480507113242
GO:0046983,snap-377_pilon-processed-gene-70.1,0.785182305914023
GO:0016788,maker-616_pilon-snap-gene-3.29,0.779782139506565
GO:0005515,augustus_masked-72381_pilon-processed-gene-2.128,0.779772937096767
GO:0005524,augustus_masked-72381_pilon-processed-gene-2.128,0.779772937096767
GO:0007034,augustus_masked-992_pilon-processed-gene-2.195,0.779326549951069
GO:0006508,maker-383_pilon-snap-gene-16.83,0.77405361168611
GO:0008234,maker-383_pilon-snap-gene-16.83,0.77405361168611
GO:0005783,maker-385_pilon-snap-gene-4.126,0.768919035255013
GO:0004672,snap-723_pilon-processed-gene-2.77,0.766124941663012
GO:0006468,snap-723_pilon-processed-gene-2.77,0.766124941663012
GO:0008033,maker-1072_pilon-snap-gene-1.54,0.764221579565566
GO:0006508,maker-809_pilon-augustus-gene-3.17,0.762907004214496
GO:0008234,maker-809_pilon-augustus-gene-3.17,0.762907004214496
GO:0016787,maker-348_pilon-augustus-gene-15.95,0.757714299982223
GO:0008033,snap-263589_pilon-processed-gene-0.7,0.755312445391807
GO:0008270,maker-377_pilon-snap-gene-42.61,0.753124185377917
GO:0005515,augustus-869_pilon-processed-gene-0.17,0.75282911457676
GO:0003824,maker-72791_pilon-snap-gene-0.33,0.752763435509007
GO:0009116,maker-72791_pilon-snap-gene-0.33,0.752763435509007
GO:0030247,snap-420_pilon-processed-gene-14.42,0.751424493536733
GO:0015267,maker-376_pilon-snap-gene-2.35,0.749812618745921
GO:0016020,maker-376_pilon-snap-gene-2.35,0.749812618745921
GO:0055085,maker-376_pilon-snap-gene-2.35,0.749812618745921
GO:0003677,snap-714_pilon-processed-gene-32.28,0.749308086829651
GO:0016787,evm-451_pilon-processed-gene-33.76,0.742786371304339
GO:0009733,snap-976_pilon-processed-gene-1.4,0.741600449900744
GO:0006508,snap-459_pilon-processed-gene-11.138,0.741094677387946
GO:0008236,snap-459_pilon-processed-gene-11.138,0.741094677387946
GO:0005524,maker-268_pilon-snap-gene-102.30,0.741024539387355
GO:0004672,maker-268_pilon-snap-gene-102.30,0.741024539387355
GO:0006468,maker-268_pilon-snap-gene-102.30,0.741024539387355
GO:0046983,maker-477_pilon-snap-gene-17.0,0.740857374047483
GO:0043531,snap-316_pilon-processed-gene-101.21,0.739321658894322
GO:0008270,maker-571_pilon-snap-gene-24.68,0.739131115450567
GO:0005515,snap_masked-714_pilon-processed-gene-11.32,0.735125512994364
GO:0005515,augustus_masked-897_pilon-processed-gene-2.38,0.733715472653914
GO:0046983,snap-311_pilon-processed-gene-14.31,0.730834096755678
GO:0005524,snap_masked-72312_pilon-processed-gene-0.3,0.729611125497126
GO:0004672,snap_masked-72312_pilon-processed-gene-0.3,0.729611125497126
GO:0006468,snap_masked-72312_pilon-processed-gene-0.3,0.729611125497126
GO:0003677,snap_masked-975_pilon-processed-gene-32.22,0.727350584460838
GO:0030247,augustus_masked-422_pilon-processed-gene-0.0,0.727207785152573
GO:0008289,maker-780_pilon-augustus-gene-36.62,0.726509606874368
GO:0003700,maker-976_pilon-snap-gene-16.122,0.722575743627147
GO:0006355,maker-976_pilon-snap-gene-16.122,0.722575743627147
GO:0003677,maker-358_pilon-snap-gene-28.13,0.721287484637448
GO:0006275,maker-358_pilon-snap-gene-28.13,0.721287484637448
GO:0006614,maker-93029_pilon-augustus-gene-0.6,0.721220247854845
GO:0008312,maker-93029_pilon-augustus-gene-0.6,0.721220247854845
GO:0005047,maker-93029_pilon-augustus-gene-0.6,0.721220247854845
GO:0005786,maker-93029_pilon-augustus-gene-0.6,0.721220247854845
GO:0030942,maker-93029_pilon-augustus-gene-0.6,0.721220247854845
GO:0008270,snap-836_pilon-processed-gene-2.51,0.721197084861788
GO:0005524,snap-58137_pilon-processed-gene-0.7,0.721162661963138
GO:0004672,snap-58137_pilon-processed-gene-0.7,0.721162661963138
GO:0006468,snap-58137_pilon-processed-gene-0.7,0.721162661963138
GO:0005515,maker-359_pilon-snap-gene-6.245,0.713194666063573
GO:0015035,maker-72587_pilon-snap-gene-0.4,0.712204839808434
GO:0003677,maker-761_pilon-snap-gene-1.54,0.711916137824297
GO:0005524,maker-761_pilon-snap-gene-1.54,0.711916137824297
GO:0016787,maker-761_pilon-snap-gene-1.54,0.711916137824297
GO:0005515,maker-579_pilon-snap-gene-37.42,0.706806519505494
GO:0005515,augustus-956_pilon-processed-gene-0.41,0.703990276853357
GO:0003887,maker-898_pilon-augustus-gene-3.37,0.703707533990886
GO:0016020,evm-518_pilon-processed-gene-27.94,0.703113875857025
GO:0055085,evm-518_pilon-processed-gene-27.94,0.703113875857025
GO:0005509,evm-518_pilon-processed-gene-27.94,0.703113875857025
GO:0005515,maker-252944_pilon-snap-gene-0.2,0.702297057401374
GO:0005509,augustus_masked-316_pilon-processed-gene-17.63,0.701797335530876
GO:0006355,maker-375_pilon-snap-gene-5.46,0.701034032868139
GO:0003677,maker-375_pilon-snap-gene-5.46,0.701034032868139
GO:0016020,snap_masked-261_pilon-processed-gene-29.95,0.695881000019685
GO:0016757,snap_masked-261_pilon-processed-gene-29.95,0.695881000019685
GO:0006355,maker-384_pilon-augustus-gene-15.164,0.695159789886791
GO:0030599,augustus-345_pilon-processed-gene-123.66,0.693707768908791
GO:0042545,augustus-345_pilon-processed-gene-123.66,0.693707768908791
GO:0005515,snap_masked-384_pilon-processed-gene-17.43,0.690959444046974
GO:0005515,maker-372_pilon-snap-gene-6.2,0.686535453617402
GO:0045927,maker-316_pilon-snap-gene-74.64,0.68590633422293
GO:0005515,maker-897_pilon-snap-gene-1.5,0.685368547120116
GO:0005515,maker-72792_pilon-snap-gene-2.39,0.683600490329713
GO:0005524,augustus-460_pilon-processed-gene-8.161,0.682126944421606
GO:0004672,augustus-460_pilon-processed-gene-8.161,0.682126944421606
GO:0006468,augustus-460_pilon-processed-gene-8.161,0.682126944421606
GO:0003723,augustus-515_pilon-processed-gene-1.37,0.681887279964951
GO:0016765,augustus-530_pilon-processed-gene-10.74,0.680470630410435
GO:0005524,augustus-215_pilon-processed-gene-53.65,0.680452447554956
GO:0004672,augustus-215_pilon-processed-gene-53.65,0.680452447554956
GO:0006468,augustus-215_pilon-processed-gene-53.65,0.680452447554956
GO:0005975,maker-518_pilon-snap-gene-9.19,0.679423209386939
GO:0004650,maker-518_pilon-snap-gene-9.19,0.679423209386939
GO:0009654,maker-348_pilon-augustus-gene-7.124,0.679391357189842
GO:0010207,maker-348_pilon-augustus-gene-7.124,0.679391357189842
GO:0010242,maker-348_pilon-augustus-gene-7.124,0.679391357189842
GO:0042549,maker-348_pilon-augustus-gene-7.124,0.679391357189842
GO:0003824,snap-74370_pilon-processed-gene-0.4,0.676946053621093
GO:0009058,snap-74370_pilon-processed-gene-0.4,0.676946053621093
GO:0008270,augustus-353_pilon-processed-gene-22.79,0.67640225118231
GO:0005525,maker-417_pilon-augustus-gene-10.1,0.676174852274591
GO:0003924,maker-417_pilon-augustus-gene-10.1,0.676174852274591
GO:0046983,augustus-455_pilon-processed-gene-11.4,0.675074255214742
GO:0003677,augustus-455_pilon-processed-gene-11.4,0.675074255214742
GO:0005506,maker-592_pilon-augustus-gene-7.14,0.674410217197504
GO:0016491,maker-542_pilon-snap-gene-30.95,0.674150704241477
GO:0032040,maker-381_pilon-snap-gene-8.40,0.673151318118428
GO:0006094,maker-358_pilon-snap-gene-35.5,0.672432698906689
GO:0006096,maker-358_pilon-snap-gene-35.5,0.672432698906689
GO:0004347,maker-358_pilon-snap-gene-35.5,0.672432698906689
GO:0005524,snap-452_pilon-processed-gene-9.66,0.671798614488483
GO:0004672,snap-452_pilon-processed-gene-9.66,0.671798614488483
GO:0006468,snap-452_pilon-processed-gene-9.66,0.671798614488483
GO:0006508,maker-435_pilon-augustus-gene-8.25,0.667312881380827
GO:0005524,maker-435_pilon-augustus-gene-8.25,0.667312881380827
GO:0004222,maker-435_pilon-augustus-gene-8.25,0.667312881380827
GO:0004176,maker-435_pilon-augustus-gene-8.25,0.667312881380827
GO:0003824,augustus-202815_pilon-processed-gene-0.0,0.664988045555341
GO:0005515,maker-518_pilon-snap-gene-13.49,0.661394540093597
GO:0008194,augustus-353_pilon-processed-gene-9.18,0.660853977264007
GO:0005515,augustus-834_pilon-processed-gene-1.53,0.659695164321678
GO:0016020,augustus-39384_pilon-processed-gene-0.1,0.659380102771158
GO:0055085,augustus-39384_pilon-processed-gene-0.1,0.659380102771158
GO:0005216,augustus-39384_pilon-processed-gene-0.1,0.659380102771158
GO:0006811,augustus-39384_pilon-processed-gene-0.1,0.659380102771158
GO:0003700,maker-383_pilon-snap-gene-15.14,0.658994077688366
GO:0006355,maker-383_pilon-snap-gene-15.14,0.658994077688366
GO:0005634,maker-383_pilon-snap-gene-15.14,0.658994077688366
GO:0003887,maker-311_pilon-augustus-gene-15.83,0.657767817871844
GO:0000166,maker-311_pilon-augustus-gene-15.83,0.657767817871844
GO:0003677,maker-311_pilon-augustus-gene-15.83,0.657767817871844
