tanoak	dnds	GO_annotations	signature_descriptions	interpro_descriptions
maker-314_pilon-augustus-gene-6.14	0.342323740865371	GO:0006486|GO:0016020|GO:0016758|GO:0007017|GO:0030286|GO:0030246	Galactosyltransferase, Dynein light chain type 1, Galactoside-binding lectin	Glycosyl transferase, family 31, Dynein light chain, type 1/2, Galectin, carbohydrate recognition domain
maker-314_pilon-snap-gene-9.71	NA	GO:0005515	HEAT repeat	HEAT repeat
maker-314_pilon-augustus-gene-12.47	NA	GO:0000160	Response regulator receiver domain	Signal transduction response regulator, receiver domain
augustus-314_pilon-processed-gene-22.94	0.332360609159481	GO:0004601|GO:0006979|GO:0020037	Peroxidase	Haem peroxidase
maker-314_pilon-snap-gene-22.85	0.609509849941162	GO:0006284	HhH-GPD superfamily base excision DNA repair protein	HhH-GPD domain
augustus_masked-314_pilon-processed-gene-27.97	NA	GO:0004089|GO:0008270	Carbonic anhydrase	Carbonic anhydrase
augustus-590_pilon-processed-gene-0.53	0.402474690181942	GO:0004601|GO:0006979|GO:0020037	Peroxidase	Haem peroxidase
maker-611_pilon-augustus-gene-2.6	0.433120292478138	GO:0003824	Endonuclease/Exonuclease/phosphatase family	Endonuclease/exonuclease/phosphatase
augustus_masked-611_pilon-processed-gene-3.56	0.144705739820505	GO:0005515	F-box domain, Leucine Rich repeat	F-box domain, Leucine-rich repeat
augustus-611_pilon-processed-gene-4.1	0.414296735710372	GO:0005634	Ethylene insensitive 3	Ethylene insensitive 3
maker-611_pilon-snap-gene-6.74	NA	GO:0003677|GO:0006355	Dof domain, zinc finger	Zinc finger, Dof-type
snap-796_pilon-processed-gene-0.37	1.18986718114141	GO:0006508|GO:0008236	Serine carboxypeptidase S28	Peptidase S28
maker-349_pilon-snap-gene-2.2	NA	GO:0004672|GO:0005524|GO:0006468	Protein kinase domain	Protein kinase domain
evm-349_pilon-processed-gene-3.2	NA	GO:0004650|GO:0005975	Glycosyl hydrolases family 28	Glycoside hydrolase, family 28
maker-349_pilon-snap-gene-9.3	NA	GO:0016740	PMR5 N terminal Domain, GDSL/SGNH-like Acyl-Esterase family found in Pmr5 and Cas1p	Trichome birefringence-like, N-terminal domain, PC-Esterase
maker-349_pilon-snap-gene-12.7	0.322799747145782	GO:0000166|GO:0003677	C4-type zinc-finger of DNA polymerase delta, DNA polymerase family B, DNA polymerase family B, exonuclease domain	C4-type zinc-finger of DNA polymerase delta, DNA-directed DNA polymerase, family B, multifunctional domain, DNA-directed DNA polymerase, family B, exonuclease domain
maker-1014_pilon-augustus-gene-2.39	0.324970409061134	GO:0035673	OPT oligopeptide transporter protein	Oligopeptide transporter, OPT superfamily
maker-1014_pilon-augustus-gene-3.36	0.342019021535606	GO:0046983	Helix-loop-helix DNA-binding domain	Myc-type, basic helix-loop-helix (bHLH) domain
maker-1014_pilon-snap-gene-4.49	0.428851015784607	GO:0004612|GO:0005524|GO:0006094	Phosphoenolpyruvate carboxykinase	Phosphoenolpyruvate carboxykinase, ATP-utilising
maker-1014_pilon-snap-gene-10.49	0.186899841245549	GO:0003872|GO:0006096	Phosphofructokinase	Phosphofructokinase domain
maker-1014_pilon-snap-gene-13.11	0.491827944921267	GO:0016702	Retinal pigment epithelial membrane protein	Carotenoid oxygenase
maker-1014_pilon-snap-gene-14.124	1.28694431110217	GO:0006629	Lipase (class 3)	Fungal lipase-like domain
maker-1014_pilon-snap-gene-14.128	0.336877394617264	GO:0000160	Response regulator receiver domain	Signal transduction response regulator, receiver domain
maker-64871_pilon-snap-gene-0.2	0.909105901109058	GO:0004497|GO:0005506|GO:0016705|GO:0020037	Cytochrome P450	Cytochrome P450
maker-996_pilon-snap-gene-0.10	NA	GO:0008483|GO:0030170	Aminotransferase class-III	Aminotransferase class-III
evm-996_pilon-processed-gene-2.46	1.01325811910024	GO:0004497|GO:0005506|GO:0016705|GO:0020037	Cytochrome P450	Cytochrome P450
maker-461_pilon-snap-gene-0.8	NA	GO:0005839|GO:0051603	Proteasome subunit	Proteasome, subunit alpha/beta
snap-461_pilon-processed-gene-3.33	0.575720515260947	GO:0016702	Retinal pigment epithelial membrane protein	Carotenoid oxygenase
maker-547_pilon-augustus-gene-4.38	NA	GO:0003824|GO:0005992	Trehalose-phosphatase	Trehalose-phosphatase
maker-547_pilon-snap-gene-5.0	NA	GO:0003700|GO:0006355	bZIP transcription factor	Basic-leucine zipper domain
evm-547_pilon-processed-gene-7.49	NA	GO:0015297|GO:0016020|GO:0042910|GO:0055085	MatE	Multi antimicrobial extrusion protein
maker-547_pilon-snap-gene-14.116	0.535149852606783	GO:0016491	Oxidoreductase FAD-binding domain, Oxidoreductase NAD-binding domain	Flavoprotein pyridine nucleotide cytochrome reductase-like, FAD-binding domain, Oxidoreductase FAD/NAD(P)-binding
maker-547_pilon-snap-gene-15.60	0.97122653910342	GO:0003677	Homeodomain	Homeobox domain
maker-547_pilon-snap-gene-22.3	0.390759663613319	GO:0003723|GO:0003676	3' exoribonuclease family, domain 2, 3' exoribonuclease family, domain 1, KH domain, S1 RNA binding domain	Exoribonuclease, phosphorolytic domain 2, Exoribonuclease, phosphorolytic domain 1, K Homology domain, type 1, S1 domain
maker-547_pilon-snap-gene-27.22	0.400489323910417	GO:0016020|GO:0022857|GO:0055085	Amino acid permease	Amino acid/polyamine transporter I
maker-547_pilon-snap-gene-30.125	0.152163361434882	GO:0016020	Syntaxin, SNARE domain	Syntaxin, N-terminal domain, Target SNARE coiled-coil homology domain
augustus-547_pilon-processed-gene-35.24	NA	GO:0003723|GO:0003743|GO:0006413	Eukaryotic initiation factor 4E	Translation Initiation factor eIF- 4e
augustus-380_pilon-processed-gene-1.49	NA	GO:0004672|GO:0005524|GO:0006468	Protein kinase domain	Protein kinase domain
maker-380_pilon-snap-gene-5.48	NA	GO:0006508|GO:0008234	Ulp1 protease family, C-terminal catalytic domain	Ulp1 protease family, C-terminal catalytic domain
maker-380_pilon-snap-gene-7.47	NA	GO:0003824	Flavoprotein	Flavoprotein
maker-380_pilon-augustus-gene-9.138	0.188993944648606	GO:0003824	Haloacid dehalogenase-like hydrolase, Endonuclease/Exonuclease/phosphatase family	Haloacid dehalogenase-like hydrolase, Endonuclease/exonuclease/phosphatase
snap-380_pilon-processed-gene-9.30	0.294141786115866	GO:0005515	Tetratricopeptide repeat	-, Tetratricopeptide repeat 2, Tetratricopeptide repeat
maker-380_pilon-augustus-gene-13.35	0.448175018385509	GO:0008113	Peptide methionine sulfoxide reductase	Peptide methionine sulphoxide reductase MsrA domain
snap-380_pilon-processed-gene-13.26	NA	GO:0006508|GO:0008234	Cathepsin propeptide inhibitor domain (I29), Papain family cysteine protease	Cathepsin propeptide inhibitor domain (I29), Peptidase C1A, papain C-terminal
maker-380_pilon-augustus-gene-14.43	0.469436410321895	GO:0005515	Autophagy protein 16 (ATG16), WD domain, G-beta repeat	Autophagy-related protein 16 domain, WD40 repeat
snap_masked-380_pilon-processed-gene-14.9	0.430509237443156	GO:0005515	WD domain, G-beta repeat	WD40 repeat
maker-380_pilon-snap-gene-25.84	NA	GO:0005515|GO:0008270	Ig-like domain from next to BRCA1 gene, PB1 domain, Zinc finger, ZZ type	Next to BRCA1, central domain, PB1 domain, Zinc finger, ZZ-type
augustus_masked-380_pilon-abinit-gene-26.4	0.401780738697611	GO:0004672|GO:0005524|GO:0006468|GO:0004553|GO:0005975|GO:0030246	Protein kinase domain, Glycosyl hydrolases family 17, Legume lectin domain	Protein kinase domain, Glycoside hydrolase family 17, Legume lectin domain
maker-380_pilon-snap-gene-26.124	0.643005757412256	GO:0003676|GO:0005524	DEAD/DEAH box helicase, Helicase conserved C-terminal domain	DEAD/DEAH box helicase domain, Helicase, C-terminal
snap-380_pilon-processed-gene-27.114	0.376218205997014	GO:0005515	Armadillo/beta-catenin-like repeat	Armadillo
augustus_masked-992_pilon-processed-gene-2.195	0.779326549951069	GO:0007034	Snf7	Snf7 family
maker-992_pilon-snap-gene-2.13	0.334808762330711	GO:0016491	Pyridine nucleotide-disulphide oxidoreductase	FAD/NAD(P)-binding domain
maker-923_pilon-augustus-gene-3.13	0.221292722129353	GO:0003723	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	RNA recognition motif domain
augustus_masked-923_pilon-processed-gene-4.85	NA	GO:0003735|GO:0005840|GO:0006412	Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast	Ribosomal protein L18
maker-923_pilon-snap-gene-6.33	0.573788696794591	GO:0016787	alpha/beta hydrolase fold	Alpha/beta hydrolase fold-3
maker-923_pilon-augustus-gene-14.111	0.212238473319638	GO:0005509|GO:0005783|GO:0006457|GO:0051082	Calreticulin family	Calreticulin/calnexin
maker-69761_pilon-snap-gene-0.59	NA	GO:0009055	Plastocyanin-like domain	Phytocyanin domain
maker-69761_pilon-snap-gene-0.69	NA	GO:0009055	Plastocyanin-like domain	Phytocyanin domain
maker-198373_pilon-snap-gene-0.2	NA	GO:0003723	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	RNA recognition motif domain
maker-173023_pilon-augustus-gene-0.5	1.05104121077624	GO:0004601|GO:0006979|GO:0020037	Peroxidase	Haem peroxidase
augustus-936_pilon-processed-gene-1.77	1.01489658817588	GO:0006511	Skp1 family, tetramerisation domain, Skp1 family, dimerisation domain	SKP1 component, POZ domain, SKP1 component, dimerisation
snap_masked-936_pilon-processed-gene-1.40	0.306594477997723	GO:0006511	Skp1 family, dimerisation domain, Skp1 family, tetramerisation domain	SKP1 component, dimerisation, SKP1 component, POZ domain
maker-645_pilon-snap-gene-7.44	NA	GO:0046872	Heavy-metal-associated domain	Heavy metal-associated domain, HMA
snap-645_pilon-processed-gene-13.103	0.634414865275366	GO:0003690|GO:0006355	mTERF	Transcription termination factor, mitochondrial/chloroplastic
augustus_masked-645_pilon-processed-gene-13.74	0.09588173802128	GO:0015031|GO:0036211	UEV domain, Vps23 core domain	Ubiquitin E2 variant, N-terminal, Steadiness box (SB) domain
maker-712_pilon-snap-gene-2.102	NA	GO:0003700|GO:0005634|GO:0006355	K-box region	Transcription factor, K-box
maker-653_pilon-snap-gene-0.0	0.139595314921434	GO:0006270	CDC45-like protein, Zinc finger, C3HC4 type (RING finger)	CDC45 family, -
augustus-653_pilon-processed-gene-1.74	3.13495959415473	GO:0005515	Ankyrin repeats (many copies), Ankyrin repeats (3 copies)	Ankyrin repeat
augustus_masked-881_pilon-abinit-gene-1.85	NA	GO:0046983	Protein of unknown function (DUF 659), hAT family C-terminal dimerisation region	Domain of unknown function DUF659, HAT, C-terminal dimerisation domain
maker-794_pilon-augustus-gene-0.57	1.34398544374135	GO:0016020	LEM3 (ligand-effect modulator 3) family / CDC50 family	CDC50/LEM3 family
augustus_masked-72558_pilon-processed-gene-0.143	1.82540763073735	GO:0030247	Wall-associated receptor kinase galacturonan-binding	Wall-associated receptor kinase, galacturonan-binding domain
snap-68677_pilon-processed-gene-0.8	0	GO:0003723	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	RNA recognition motif domain
maker-71059_pilon-snap-gene-0.5	0.513052545244015	GO:0016788	GDSL-like Lipase/Acylhydrolase	GDSL lipase/esterase
augustus-69745_pilon-processed-gene-0.0	0.45381561030646	GO:0016787	alpha/beta hydrolase fold	Alpha/beta hydrolase fold-3
maker-74634_pilon-augustus-gene-0.125	0.393123123689906	GO:0004672|GO:0006468	Protein tyrosine and serine/threonine kinase	Serine-threonine/tyrosine-protein kinase, catalytic domain
maker-443_pilon-augustus-gene-1.2	NA	GO:0004842|GO:0016567	U-box domain	U-box domain
evm-588_pilon-processed-gene-0.44	0.436493139435347	GO:0003333	Tryptophan/tyrosine permease family	Amino acid/polyamine transporter 2
maker-588_pilon-augustus-gene-2.68	NA	GO:0005524	TCP-1/cpn60 chaperonin family	Chaperonin Cpn60/GroEL/TCP-1 family
maker-588_pilon-snap-gene-3.31	NA	GO:0003677|GO:0006355	Homeobox KN domain, Associated with HOX	Homeobox KN domain, POX domain
augustus-588_pilon-processed-gene-3.61	0.207116435179242	GO:0004672|GO:0005524|GO:0006468	Protein kinase domain	Protein kinase domain
maker-689_pilon-snap-gene-0.8	NA	GO:0003677|GO:0006355|GO:0043565	Homeodomain, Homeobox associated leucine zipper	Homeobox domain, Leucine zipper, homeobox-associated
augustus_masked-689_pilon-processed-gene-1.27	0.234457477579689	GO:0005741|GO:0055085	Eukaryotic porin	Eukaryotic porin/Tom40
augustus_masked-689_pilon-abinit-gene-3.33	NA	GO:0016491	Aldehyde dehydrogenase family	Aldehyde dehydrogenase domain
maker-689_pilon-snap-gene-4.84	NA	GO:0016491	Pyridine nucleotide-disulphide oxidoreductase	FAD/NAD(P)-binding domain
maker-689_pilon-snap-gene-4.89	NA	GO:0003735|GO:0006412	Ribosomal protein L7/L12 C-terminal domain	Ribosomal protein L7/L12, C-terminal
maker-501_pilon-augustus-gene-0.26	0.793811032997007	GO:0009055	Plastocyanin-like domain	Phytocyanin domain
maker-501_pilon-augustus-gene-3.16	NA	GO:0005524	ABC transporter	ABC transporter-like, ATP-binding domain
snap-70985_pilon-processed-gene-0.96	0.871955847211078	GO:0009579|GO:0015979|GO:0016020	Photosystem I psaA/psaB protein	Photosystem I PsaA/PsaB
maker-377_pilon-snap-gene-0.36	0.329497811642541	GO:0005515	Ankyrin repeats (3 copies), Domain of unknown function	Ankyrin repeat, PGG domain
augustus_masked-377_pilon-processed-gene-1.48	0.345673706318247	GO:0005515	Leucine rich repeat N-terminal domain, Leucine rich repeat	Leucine-rich repeat-containing N-terminal, plant-type, Leucine-rich repeat
augustus_masked-377_pilon-processed-gene-2.26	0.367104773307283	GO:0046872	Zinc finger C-x8-C-x5-C-x3-H type (and similar)	Zinc finger, CCCH-type
maker-377_pilon-augustus-gene-4.43	0.151973914339486	GO:0005515	WD domain, G-beta repeat, Sof1-like domain	WD40 repeat, Sof1-like protein
augustus_masked-377_pilon-processed-gene-8.32	Inf	GO:0005515	F-box domain	F-box domain
snap_masked-377_pilon-processed-gene-13.75	0.538577227092577	GO:0003682	SAWADEE domain	SAWADEE domain
snap-377_pilon-processed-gene-18.128	1.03176306454082	GO:0006508|GO:0008234	Papain family cysteine protease, Cathepsin propeptide inhibitor domain (I29)	Peptidase C1A, papain C-terminal, Cathepsin propeptide inhibitor domain (I29)
maker-377_pilon-snap-gene-19.76	0.396241184205434	GO:0046983	Helix-loop-helix DNA-binding domain	Myc-type, basic helix-loop-helix (bHLH) domain
maker-377_pilon-snap-gene-29.19	NA	GO:0008270	RING-variant domain	Zinc finger, RING-CH-type
maker-377_pilon-snap-gene-29.32	0.17416811157904	GO:0005634|GO:0042254	40S ribosome biogenesis protein Tsr1 and BMS1 C-terminal, AARP2CN (NUC121) domain	Ribosome biogenesis protein BMS1/TSR1, C-terminal, AARP2CN
augustus-377_pilon-processed-gene-29.17	NA	GO:0003700|GO:0006355|GO:0043565	WRKY DNA -binding domain	WRKY domain
maker-377_pilon-snap-gene-29.52	NA	GO:0003924|GO:0005525	Ras family	Small GTPase
maker-377_pilon-snap-gene-37.45	NA	GO:0016740	PMR5 N terminal Domain, GDSL/SGNH-like Acyl-Esterase family found in Pmr5 and Cas1p	Trichome birefringence-like, N-terminal domain, PC-Esterase
snap-377_pilon-processed-gene-38.6	0.500555070004974	GO:0016740	GDSL/SGNH-like Acyl-Esterase family found in Pmr5 and Cas1p	PC-Esterase
maker-377_pilon-snap-gene-39.40	0.148480500636257	GO:0005634|GO:0006368|GO:0070449	RNA polymerase II transcription factor SIII (Elongin) subunit A, Amidase	RNA polymerase II transcription factor SIII, subunit A, Amidase signature domain
maker-377_pilon-snap-gene-42.61	0.753124185377917	GO:0008270	B-box zinc finger	B-box-type zinc finger
snap-377_pilon-processed-gene-48.18	NA	GO:0016746	Acyltransferase	Phospholipid/glycerol acyltransferase
augustus-377_pilon-processed-gene-53.71	0.534568725112681	GO:0008270	PPR repeat, E+ motif, PPR repeat family, E motif, DYW family of nucleic acid deaminases	Pentatricopeptide repeat, E+ motif, E motif, DYW domain
maker-377_pilon-augustus-gene-55.132	NA	GO:0003677|GO:0006355	No apical meristem (NAM) protein	NAC domain
maker-377_pilon-augustus-gene-58.2	NA	GO:0016020	TLC domain	TRAM/LAG1/CLN8 homology domain
snap-377_pilon-processed-gene-60.44	0.203839632319858	GO:0006886|GO:0005515|GO:0031267	Cse1, CAS/CSE protein, C-terminus, Importin-beta N-terminal domain	Exportin-2, central domain, Exportin-2, C-terminal, Importin-beta, N-terminal domain
maker-377_pilon-augustus-gene-61.49	NA	GO:0005515	RAVE protein 1 C terminal, WD domain, G-beta repeat	RAVE complex protein Rav1 C-terminal, WD40 repeat
maker-377_pilon-augustus-gene-63.75	0.816787690015608	GO:0015743	Aluminium activated malate transporter	Aluminum-activated malate transporter
augustus_masked-377_pilon-processed-gene-63.62	NA	GO:0016772|GO:0005524	GHMP kinases C terminal, L-fucokinase, GHMP kinases N terminal domain	GHMP kinase, C-terminal domain, L-fucokinase, GHMP kinase N-terminal domain
snap-377_pilon-processed-gene-70.1	0.785182305914023	GO:0046983	Helix-loop-helix DNA-binding domain, bHLH-MYC and R2R3-MYB transcription factors N-terminal	Myc-type, basic helix-loop-helix (bHLH) domain, Transcription factor MYC/MYB N-terminal
maker-377_pilon-augustus-gene-70.42	NA	GO:0016409	DHHC palmitoyltransferase	Palmitoyltransferase, DHHC domain
maker-377_pilon-snap-gene-76.18	0.264725705006456	GO:0003723	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	RNA recognition motif domain
snap-377_pilon-processed-gene-76.82	0.0325731278304145	GO:0006888|GO:0006890|GO:0070939	COG4 transport protein, RINT-1 / TIP-1 family	Conserved oligomeric Golgi complex, subunit 4, RINT-1/Tip20
maker-377_pilon-snap-gene-77.19	0.26206535520025	GO:0046983	Helix-loop-helix DNA-binding domain	Myc-type, basic helix-loop-helix (bHLH) domain
maker-72040_pilon-snap-gene-0.15	0.242783623652167	GO:0004497|GO:0005506|GO:0016705|GO:0020037	Cytochrome P450	Cytochrome P450
maker-74585_pilon-augustus-gene-0.80	0.24557521407789	GO:0046983	Helix-loop-helix DNA-binding domain	Myc-type, basic helix-loop-helix (bHLH) domain
evm-802_pilon-processed-gene-2.37	NA	GO:0004784|GO:0006801|GO:0046872	Iron/manganese superoxide dismutases, alpha-hairpin domain, Iron/manganese superoxide dismutases, C-terminal domain	Manganese/iron superoxide dismutase, N-terminal, Manganese/iron superoxide dismutase, C-terminal
maker-802_pilon-snap-gene-4.50	NA	GO:0005524|GO:0016787	UvrD-like helicase C-terminal domain, UvrD/REP helicase N-terminal domain	UvrD-like DNA helicase, C-terminal, UvrD-like helicase, ATP-binding domain
augustus-73577_pilon-processed-gene-0.56	0.369554308863891	GO:0004474|GO:0006097	Malate synthase, GDP-fucose protein O-fucosyltransferase	Malate synthase, GDP-fucose protein O-fucosyltransferase
augustus_masked-995_pilon-processed-gene-0.29	1.22218890284687	GO:0005515	Ankyrin repeats (3 copies)	Ankyrin repeat
maker-995_pilon-augustus-gene-1.0	0.0563190842727438	GO:0005509|GO:0009523|GO:0009654|GO:0015979|GO:0019898	PsbP	PsbP, C-terminal
maker-572_pilon-snap-gene-2.38	NA	GO:0016746	2-oxoacid dehydrogenases acyltransferase (catalytic domain), Biotin-requiring enzyme, e3 binding domain	2-oxoacid dehydrogenase acyltransferase, catalytic domain, Biotin/lipoyl attachment, Peripheral subunit-binding domain
snap-72162_pilon-processed-gene-0.38	0.298987083747008	GO:0007165	TIR domain	Toll/interleukin-1 receptor homology (TIR) domain
maker-428_pilon-snap-gene-3.1	0.80878045791544	GO:0008270	RING-variant domain	Zinc finger, RING-CH-type
maker-428_pilon-snap-gene-6.0	0.270366339182775	GO:0005515	Armadillo/beta-catenin-like repeat	Armadillo
maker-428_pilon-augustus-gene-8.55	0.620434724762422	GO:0003700|GO:0006355	AP2 domain	AP2/ERF domain
evm-428_pilon-processed-gene-20.4	0.401315298464121	GO:0016020	EamA-like transporter family	EamA domain
snap-428_pilon-processed-gene-21.23	0	GO:0003677	C-terminus of histone H2A, Core histone H2A/H2B/H3/H4	Histone H2A, C-terminal domain, Histone H2A/H2B/H3
maker-428_pilon-snap-gene-25.76	NA	GO:0003682	SAWADEE domain	SAWADEE domain
maker-428_pilon-augustus-gene-26.3	NA	GO:0005667|GO:0006355	E2F/DP family winged-helix DNA-binding domain	E2F/DP family, winged-helix DNA-binding domain
maker-428_pilon-snap-gene-26.82	NA	GO:0003677|GO:0006355	Dof domain, zinc finger	Zinc finger, Dof-type
augustus-428_pilon-processed-gene-27.67	0.402284644228312	GO:0005515	WD domain, G-beta repeat	WD40 repeat
maker-428_pilon-augustus-gene-28.65	NA	GO:0016787	Pectinacetylesterase	Pectinacetylesterase/NOTUM
evm-428_pilon-processed-gene-30.24	NA	GO:0004252|GO:0016020	Rhomboid family	Peptidase S54, rhomboid domain
maker-713_pilon-snap-gene-3.29	NA	GO:0004672|GO:0005524|GO:0006468	Protein kinase domain	Protein kinase domain
augustus-178152_pilon-processed-gene-0.3	0.285790155747105	GO:0019786	Peptidase family C54, Dynamin family	Peptidase C54, catalytic domain, Dynamin, N-terminal
maker-1000_pilon-snap-gene-0.61	0.613224172849502	GO:0016491	Flavin containing amine oxidoreductase	Amine oxidase
maker-866_pilon-snap-gene-0.70	0.385614630630388	GO:0005092|GO:0007264	GDP dissociation inhibitor	GDP dissociation inhibitor
snap-867_pilon-processed-gene-2.4	0.184456923587717	GO:0006355|GO:0043565	GATA zinc finger	Zinc finger, GATA-type
maker-867_pilon-snap-gene-4.61	0.253972687120675	GO:0008270	B-box zinc finger	B-box-type zinc finger
maker-867_pilon-augustus-gene-7.92	NA	GO:0003735|GO:0005840|GO:0006412	Ribosomal Proteins L2, RNA binding domain, Ribosomal Proteins L2, C-terminal domain	Ribosomal Proteins L2, RNA binding domain, Ribosomal protein L2, C-terminal
maker-867_pilon-snap-gene-17.42	1.33177745496881	GO:0003677	Homeodomain	Homeobox domain
maker-867_pilon-snap-gene-24.3	NA	GO:0005737	Programmed cell death protein 2, C-terminal putative domain	Programmed cell death protein 2, C-terminal
maker-867_pilon-augustus-gene-25.7	NA	GO:0003924|GO:0005525	Ras family	Small GTPase
maker-867_pilon-snap-gene-25.46	0.491793287642223	GO:0003700|GO:0006355|GO:0043565	WRKY DNA -binding domain	WRKY domain
maker-867_pilon-snap-gene-28.16	0.430427117499484	GO:0016747	GNAT acetyltransferase 2, tRNA(Met) cytidine acetyltransferase TmcA, N-terminal, Helicase	GNAT domain, tRNA(Met) cytidine acetyltransferase TmcA, N-terminal, Helicase domain
maker-867_pilon-augustus-gene-29.83	0.539856987743741	GO:0003700|GO:0006355|GO:0043565	WRKY DNA -binding domain	WRKY domain
augustus_masked-867_pilon-processed-gene-32.48	0.504406236244255	GO:0003723	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain), linker between RRM2 and RRM3 domains in RBM39 protein	RNA recognition motif domain, Splicing factor RBM39, linker
snap-867_pilon-processed-gene-48.20	0.368919567145274	GO:0046983	Helix-loop-helix DNA-binding domain	Myc-type, basic helix-loop-helix (bHLH) domain
augustus-867_pilon-processed-gene-49.144	NA	GO:0005515	WD domain, G-beta repeat	WD40 repeat
maker-867_pilon-augustus-gene-51.42	0.65634547337553	GO:0016020|GO:0055085	Mechanosensitive ion channel	Mechanosensitive ion channel MscS
maker-867_pilon-augustus-gene-55.168	NA	GO:0003723	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	RNA recognition motif domain
maker-867_pilon-augustus-gene-56.20	0.28849488550967	GO:0003677|GO:0003916|GO:0006265	DNA topoisomerase	DNA topoisomerase, type IA, central
maker-867_pilon-snap-gene-57.72	0.301960143676395	GO:0016491	Flavin containing amine oxidoreductase	Amine oxidase
maker-867_pilon-augustus-gene-57.51	0.448336808082072	GO:0016491	Flavin containing amine oxidoreductase	Amine oxidase
evm-867_pilon-processed-gene-61.31	NA	GO:0005094|GO:0005515|GO:0005737|GO:0007266	RHO protein GDP dissociation inhibitor	Rho protein GDP-dissociation inhibitor
snap-867_pilon-processed-gene-65.62	0.185385371653837	GO:0003723	Plant organelle RNA recognition domain	Plant organelle RNA recognition domain
maker-867_pilon-snap-gene-67.82	0.639914900011794	GO:0005515|GO:0008233|GO:0008237	JAB1/Mov34/MPN/PAD-1 ubiquitin protease, C-terminal region of eIF3h	JAB1/MPN/MOV34 metalloenzyme domain, eIF3h, C-terminal
maker-867_pilon-snap-gene-82.24	NA	GO:0004553|GO:0005975|GO:0005618|GO:0006073|GO:0016762|GO:0048046	Glycosyl hydrolases family 16, Xyloglucan endo-transglycosylase (XET) C-terminus	Glycoside hydrolase family 16, Xyloglucan endo-transglycosylase, C-terminal
augustus-68001_pilon-processed-gene-0.11	NA	GO:0003677	Methyl-CpG binding domain	Methyl-CpG DNA binding
