query_id,subject_id,subject_id.oak_tanoak,pct_ident.tanoak_oak,len.tanoak_oak,E.tanoak_oak,nextE.tanoak_oak,E_diff.tanoak_oak,Score.tanoak_oak,pct_ident.oak_tanoak,len.oak_tanoak,E.oak_tanoak,nextE.oak_tanoak,E_diff.oak_tanoak,Score.oak_tanoak
augustus_masked-126166_pilon-processed-gene-0.0-mRNA-1,Qrob_P0147090.2,augustus_masked-126166_pilon-processed-gene-0.0-mRNA-1,85.654,711,0,5.28e-122,-Inf,826,85.654,711,0,0,NA,826
augustus_masked-128565_pilon-processed-gene-0.3-mRNA-1,Qrob_P0007920.2,augustus_masked-128565_pilon-processed-gene-0.3-mRNA-1,97.778,585,0,5.549999999999999e-106,-Inf,997,97.778,585,0,2.82e-98,-Inf,997
augustus_masked-138730_pilon-processed-gene-0.0-mRNA-1,Qrob_P0447600.2,augustus_masked-138730_pilon-processed-gene-0.0-mRNA-1,94.378,836,0,5.629999999999999e-171,-Inf,1306,94.378,836,0,9.73e-114,-Inf,1306
augustus_masked-143587_pilon-processed-gene-0.0-mRNA-1,Qrob_P0268560.2,augustus_masked-143587_pilon-processed-gene-0.0-mRNA-1,94.464,560,0,1.74e-131,-Inf,867,94.464,560,0,0,NA,867
augustus_masked-153420_pilon-processed-gene-0.0-mRNA-1,Qrob_P0161220.2,augustus_masked-153420_pilon-processed-gene-0.0-mRNA-1,97.209,2436,0,8.36e-10,-Inf,4087,97.209,2436,0,0,NA,4087
augustus_masked-154089_pilon-processed-gene-0.0-mRNA-1,Qrob_P0027070.2,augustus_masked-154089_pilon-processed-gene-0.0-mRNA-1,89.812,1011,0,1.6899999999999999e-164,-Inf,1413,89.812,1011,0,0,NA,1413
augustus_masked-161872_pilon-processed-gene-0.0-mRNA-1,Qrob_P0410990.2,augustus_masked-161872_pilon-processed-gene-0.0-mRNA-1,97.01,669,0,2.53e-98,-Inf,1117,97.01,669,0,0,NA,1117
augustus_masked-164418_pilon-processed-gene-0.0-mRNA-1,Qrob_P0291670.2,augustus_masked-164418_pilon-processed-gene-0.0-mRNA-1,98.68,303,2.99e-150,3.4199999999999994e-143,-7.058354917731691,529,98.68,303,3.7499999999999997e-150,1.4000000000000001e-117,-32.57209676795051,529
augustus_masked-164942_pilon-processed-gene-0.0-mRNA-1,Qrob_P0583340.2,augustus_masked-164942_pilon-processed-gene-0.0-mRNA-1,98.589,496,0,1.2699999999999997e-171,-Inf,864,98.589,496,0,0,NA,864
augustus_masked-165928_pilon-processed-gene-0.0-mRNA-1,Qrob_P0004420.2,augustus_masked-165928_pilon-processed-gene-0.0-mRNA-1,98.879,981,0,3.229999999999999e-176,-Inf,1720,98.879,981,0,0,NA,1720
augustus_masked-166659_pilon-processed-gene-0.0-mRNA-1,Qrob_P0246350.2,augustus_masked-166659_pilon-processed-gene-0.0-mRNA-1,94.711,1021,0,4.19e-142,-Inf,1599,94.711,1021,0,0,NA,1599
augustus_masked-177400_pilon-processed-gene-0.0-mRNA-1,Qrob_P0251510.2,augustus_masked-177400_pilon-processed-gene-0.0-mRNA-1,94.526,274,6.459999999999998e-119,1.6199999999999999e-88,-30.399282496547542,427,94.526,274,3.189999999999999e-119,3.1900000000000003e-100,-19,427
augustus_masked-187972_pilon-processed-gene-0.3-mRNA-1,Qrob_P0451260.2,augustus_masked-187972_pilon-processed-gene-0.3-mRNA-1,95.594,749,0,2.33e-30,-Inf,1204,95.594,749,0,0,NA,1204
augustus_masked-212928_pilon-processed-gene-0.0-mRNA-1,Qrob_P0666330.2,augustus_masked-212928_pilon-processed-gene-0.0-mRNA-1,96.953,361,7.85e-172,4.959999999999999e-168,-3.8006120197449604,602,96.953,361,1.3199999999999998e-171,8.94e-117,-54.83076358759007,602
augustus_masked-215_pilon-processed-gene-10.5-mRNA-1,Qrob_P0140130.2,augustus_masked-215_pilon-processed-gene-10.5-mRNA-1,97.273,440,0,3.03e-8,-Inf,740,97.273,440,0,NA,NA,740
augustus_masked-215_pilon-processed-gene-11.7-mRNA-1,Qrob_P0140160.2,augustus_masked-215_pilon-processed-gene-11.7-mRNA-1,98.762,2262,0,3.76e-20,-Inf,3954,98.762,2262,0,1.4e-20,-Inf,3954
augustus_masked-215_pilon-processed-gene-12.2-mRNA-1,Qrob_P0364120.2,augustus_masked-215_pilon-processed-gene-12.2-mRNA-1,98.077,416,0,1.5099999999999999e-61,-Inf,715,98.077,416,0,3.67e-98,-Inf,715
augustus_masked-215_pilon-processed-gene-15.12-mRNA-1,Qrob_P0762550.2,augustus_masked-215_pilon-processed-gene-15.12-mRNA-1,97.569,288,6.39e-137,3.54e-83,-53.74350240386738,489,97.569,288,3.96e-137,7.169999999999999e-134,-3.257823969742276,489
augustus_masked-215_pilon-processed-gene-15.5-mRNA-1,Qrob_P0762520.2,augustus_masked-215_pilon-processed-gene-15.5-mRNA-1,97.517,1047,0,1.6099999999999998e-52,-Inf,1770,97.517,1047,0,3.949999999999999e-55,-Inf,1770
augustus_masked-215_pilon-processed-gene-19.4-mRNA-1,Qrob_P0639340.2,augustus_masked-215_pilon-processed-gene-19.4-mRNA-1,73.626,910,1.4899999999999998e-153,1.5e-58,-95.0029049906434,542,73.626,910,1.9199999999999996e-153,2.51e-63,-90.11637249277749,542
augustus_masked-215_pilon-processed-gene-23.0-mRNA-1,Qrob_P0497710.2,augustus_masked-215_pilon-processed-gene-23.0-mRNA-1,98.107,951,0,9.16e-49,-Inf,1633,98.107,951,0,2.77e-50,-Inf,1633
augustus_masked-215_pilon-processed-gene-23.4-mRNA-1,Qrob_P0497680.2,augustus_masked-215_pilon-processed-gene-23.4-mRNA-1,99.279,971,0,1.28e-11,-Inf,1720,99.279,971,0,2.73e-41,-Inf,1720
augustus_masked-215_pilon-processed-gene-3.7-mRNA-1,Qrob_P0139560.2,augustus_masked-215_pilon-processed-gene-3.7-mRNA-1,98.567,2442,0,2.92e-28,-Inf,4247,98.567,2442,0,1.7e-32,-Inf,4247
augustus_masked-215_pilon-processed-gene-31.5-mRNA-1,Qrob_P0466810.2,augustus_masked-215_pilon-processed-gene-31.5-mRNA-1,95.045,1110,0,5.36e-9,-Inf,1755,95.045,1110,0,0,NA,1755
augustus_masked-215_pilon-processed-gene-37.0-mRNA-1,Qrob_P0077940.2,augustus_masked-215_pilon-processed-gene-37.0-mRNA-1,98.217,673,0,2.3599999999999996e-107,-Inf,1160,98.217,673,0,NA,NA,1160
augustus_masked-215_pilon-processed-gene-44.14-mRNA-1,Qrob_P0418820.2,augustus_masked-215_pilon-processed-gene-44.14-mRNA-1,93.792,1917,0,1.97e-10,-Inf,2964,93.792,1917,0,1.29e-13,-Inf,2964
augustus_masked-215_pilon-processed-gene-49.3-mRNA-1,Qrob_P0438940.2,augustus_masked-215_pilon-processed-gene-49.3-mRNA-1,99.177,486,0,2.6499999999999997e-160,-Inf,859,99.177,486,0,8.91e-161,-Inf,859
augustus_masked-215_pilon-processed-gene-51.0-mRNA-1,Qrob_P0439020.2,augustus_masked-215_pilon-processed-gene-51.0-mRNA-1,98.592,2698,0,3.65e-49,-Inf,4695,98.592,2698,0,NA,NA,4695
augustus_masked-215_pilon-processed-gene-51.1-mRNA-1,Qrob_P0747130.2,augustus_masked-215_pilon-processed-gene-51.1-mRNA-1,98.489,331,3.92e-163,1.57e-22,-140.60261358538878,575,98.489,331,3.1399999999999994e-163,3.38e-17,-146.03198705220444,575
augustus_masked-215_pilon-processed-gene-53.10-mRNA-1,Qrob_P0439140.2,augustus_masked-215_pilon-processed-gene-53.10-mRNA-1,97.609,460,0,3.21e-7,-Inf,781,97.609,460,0,7.86e-39,-Inf,781
augustus_masked-215_pilon-processed-gene-6.9-mRNA-1,Qrob_P0510480.2,augustus_masked-215_pilon-processed-gene-6.9-mRNA-1,98.151,757,0,3.0200000000000003e-58,-Inf,1303,98.151,757,0,1.43e-75,-Inf,1303
augustus_masked-215_pilon-processed-gene-7.10-mRNA-1,Qrob_P0139860.2,augustus_masked-215_pilon-processed-gene-7.10-mRNA-1,95.38,909,0,7.97e-24,-Inf,1466,95.38,909,0,7.57e-32,-Inf,1466
augustus_masked-216_pilon-processed-gene-13.1-mRNA-1,Qrob_P0343740.2,augustus_masked-216_pilon-processed-gene-13.1-mRNA-1,98.883,537,0,1.3299999999999999e-89,-Inf,942,98.883,537,0,1.34e-19,-Inf,942
augustus_masked-216_pilon-processed-gene-15.0-mRNA-1,Qrob_P0343710.2,augustus_masked-216_pilon-processed-gene-15.0-mRNA-1,99.112,338,1.2799999999999998e-169,1.8999999999999996e-110,-59.17154363130496,597,99.112,338,1.3299999999999998e-169,NA,NA,597
augustus_masked-216_pilon-processed-gene-20.12-mRNA-1,Qrob_P0343490.2,augustus_masked-216_pilon-processed-gene-20.12-mRNA-1,95.858,1328,0,1.1199999999999999e-150,-Inf,2160,95.858,1328,0,4.34e-157,-Inf,2160
augustus_masked-216_pilon-processed-gene-21.7-mRNA-1,Qrob_P0243890.2,augustus_masked-216_pilon-processed-gene-21.7-mRNA-1,93.173,249,1.1e-102,2.4200000000000002e-79,-23.342422680822196,373,93.173,249,1.84e-102,3.11e-93,-9.227942566017305,373
augustus_masked-216_pilon-processed-gene-22.2-mRNA-1,Qrob_P0243930.2,augustus_masked-216_pilon-processed-gene-22.2-mRNA-1,99.703,337,2.6899999999999996e-172,4.889999999999999e-55,-117.25955657912121,604,99.703,337,2.61e-172,2.46e-71,-100.97429459976509,604
augustus_masked-216_pilon-processed-gene-22.3-mRNA-1,Qrob_P0243920.2,augustus_masked-216_pilon-processed-gene-22.3-mRNA-1,98.401,2001,0,8.300000000000001e-123,-Inf,3465,98.401,2001,0,5.8799999999999995e-126,-Inf,3465
augustus_masked-216_pilon-processed-gene-30.1-mRNA-1,Qrob_P0012050.2,augustus_masked-216_pilon-processed-gene-30.1-mRNA-1,82.686,1132,0,3.16e-24,-Inf,1144,82.686,1132,0,8.899999999999998e-168,-Inf,1144
augustus_masked-216_pilon-processed-gene-31.2-mRNA-1,Qrob_P0012070.2,augustus_masked-216_pilon-processed-gene-31.2-mRNA-1,98.841,2502,0,8.58e-29,-Inf,4382,98.841,2502,0,4.67e-27,-Inf,4382
augustus_masked-216_pilon-processed-gene-32.7-mRNA-1,Qrob_P0566050.2,augustus_masked-216_pilon-processed-gene-32.7-mRNA-1,95.899,951,0,1.34e-8,-Inf,1551,95.899,951,0,1.72e-46,-Inf,1551
augustus_masked-216_pilon-processed-gene-35.0-mRNA-1,Qrob_P0676550.2,augustus_masked-216_pilon-processed-gene-35.0-mRNA-1,97.959,833,0,6.99e-40,-Inf,1426,97.959,833,0,NA,NA,1426
augustus_masked-216_pilon-processed-gene-41.16-mRNA-1,Qrob_P0483750.2,augustus_masked-216_pilon-processed-gene-41.16-mRNA-1,98.724,862,0,1.38e-11,-Inf,1506,98.724,862,0,7.29e-17,-Inf,1506
augustus_masked-216_pilon-processed-gene-43.6-mRNA-1,Qrob_P0642200.2,augustus_masked-216_pilon-processed-gene-43.6-mRNA-1,98.915,1383,0,4.5799999999999995e-43,-Inf,2427,98.915,1383,0,1.1900000000000001e-64,-Inf,2427
augustus_masked-216_pilon-processed-gene-44.0-mRNA-1,Qrob_P0642210.2,augustus_masked-216_pilon-processed-gene-44.0-mRNA-1,98.569,1328,0,7.41e-14,-Inf,2310,98.569,1328,0,8.53e-15,-Inf,2310
augustus_masked-216_pilon-processed-gene-46.1-mRNA-1,Qrob_P0615940.2,augustus_masked-216_pilon-processed-gene-46.1-mRNA-1,99.259,540,0,9.83e-14,-Inf,955,99.259,540,0,9.1e-16,-Inf,955
augustus_masked-216_pilon-processed-gene-46.2-mRNA-1,Qrob_P0243050.2,augustus_masked-216_pilon-processed-gene-46.2-mRNA-1,98.925,279,2.36e-138,7.26e-12,-126.48802461772999,490,98.925,279,4.47e-138,6.2099999999999994e-130,-8.142784077044638,490
augustus_masked-216_pilon-processed-gene-47.5-mRNA-1,Qrob_P0309160.2,augustus_masked-216_pilon-processed-gene-47.5-mRNA-1,99.127,1947,0,1.91e-10,-Inf,3435,99.127,1947,0,9.34e-16,-Inf,3435
augustus_masked-216_pilon-processed-gene-48.4-mRNA-1,Qrob_P0135090.2,augustus_masked-216_pilon-processed-gene-48.4-mRNA-1,98.866,882,0,2.2799999999999998e-62,-Inf,1546,98.866,882,0,0,NA,1546
augustus_masked-216_pilon-processed-gene-5.1-mRNA-1,Qrob_P0536290.2,augustus_masked-216_pilon-processed-gene-5.1-mRNA-1,96.417,1842,0,1.12e-25,-Inf,3055,96.417,1842,0,4.4299999999999995e-32,-Inf,3055
augustus_masked-229649_pilon-processed-gene-0.0-mRNA-1,Qrob_P0393590.2,augustus_masked-229649_pilon-processed-gene-0.0-mRNA-1,97.723,966,0,7.14e-139,-Inf,1645,97.723,966,0,0,NA,1645
augustus_masked-236948_pilon-processed-gene-0.1-mRNA-1,Qrob_P0391650.2,augustus_masked-236948_pilon-processed-gene-0.1-mRNA-1,94.198,293,2.16e-126,1.36e-65,-60.79908515721928,450,94.198,293,5.28e-126,1.62e-75,-50.486881092008815,450
augustus_masked-237559_pilon-processed-gene-0.2-mRNA-1,Qrob_P0615880.2,augustus_masked-237559_pilon-processed-gene-0.2-mRNA-1,98.208,837,0,1.3800000000000001e-65,-Inf,1446,98.208,837,0,3.7899999999999996e-67,-Inf,1446
augustus_masked-237559_pilon-processed-gene-0.3-mRNA-1,Qrob_P0271030.2,augustus_masked-237559_pilon-processed-gene-0.3-mRNA-1,95.378,238,4.9599999999999996e-104,2.57e-82,-21.714451446841096,377,95.378,238,3.98e-104,1.07e-98,-5.429500705611517,377
augustus_masked-237567_pilon-processed-gene-0.4-mRNA-1,Qrob_P0137690.2,augustus_masked-237567_pilon-processed-gene-0.4-mRNA-1,98.087,993,0,2.26e-50,-Inf,1706,98.087,993,0,2.89e-50,-Inf,1706
augustus_masked-238811_pilon-processed-gene-0.0-mRNA-1,Qrob_P0641790.2,augustus_masked-238811_pilon-processed-gene-0.0-mRNA-1,93.81,630,0,8.009999999999999e-170,-Inf,962,93.81,630,0,5.119999999999999e-160,-Inf,962
augustus_masked-239070_pilon-processed-gene-0.0-mRNA-1,Qrob_P0111300.2,augustus_masked-239070_pilon-processed-gene-0.0-mRNA-1,90.647,417,3.1799999999999998e-164,2.14e-147,-16.827986653364746,577,90.647,417,1.89e-163,6.589999999999999e-144,-19.54242361042077,577
augustus_masked-239109_pilon-processed-gene-0.0-mRNA-1,Qrob_P0633140.2,augustus_masked-239109_pilon-processed-gene-0.0-mRNA-1,97.83,507,0,1.79e-16,-Inf,866,97.83,507,0,0,NA,866
augustus_masked-239389_pilon-processed-gene-0.0-mRNA-1,Qrob_P0425460.2,augustus_masked-239389_pilon-processed-gene-0.0-mRNA-1,85.652,230,6.29e-71,2.06e-45,-25.51521657492389,267,85.652,230,1.6900000000000002e-70,1.58e-45,-24.970770382340753,267
augustus_masked-241628_pilon-processed-gene-0.0-mRNA-1,Qrob_P0372610.2,augustus_masked-241628_pilon-processed-gene-0.0-mRNA-1,98.777,327,2.9799999999999995e-163,9.81e-5,-158.5174527433037,572,98.777,327,5.0299999999999997e-163,2.78e-147,-15.742476810862144,572
augustus_masked-241642_pilon-processed-gene-0.0-mRNA-1,Qrob_P0372650.2,augustus_masked-241642_pilon-processed-gene-0.0-mRNA-1,91.867,541,0,1.66e-80,-Inf,767,91.867,541,0,0,NA,767
augustus_masked-254155_pilon-processed-gene-0.2-mRNA-1,Qrob_P0032390.2,augustus_masked-254155_pilon-processed-gene-0.2-mRNA-1,98.962,771,0,4.0699999999999997e-166,-Inf,1355,98.962,771,0,0,NA,1355
augustus_masked-255608_pilon-processed-gene-0.2-mRNA-1,Qrob_P0407040.2,augustus_masked-255608_pilon-processed-gene-0.2-mRNA-1,94.571,1584,0,8.52e-109,-Inf,2470,94.571,1584,0,0,NA,2470
augustus_masked-255630_pilon-processed-gene-0.0-mRNA-1,Qrob_P0343440.2,augustus_masked-255630_pilon-processed-gene-0.0-mRNA-1,98.971,486,0,2.9300000000000003e-26,-Inf,855,98.971,486,0,2.49e-28,-Inf,855
augustus_masked-257744_pilon-processed-gene-0.2-mRNA-1,Qrob_P0035730.2,augustus_masked-257744_pilon-processed-gene-0.2-mRNA-1,90.488,410,3.739999999999999e-159,5.58e-81,-78.1737625967371,561,90.488,410,5.1e-159,1.37e-134,-24.42915039105847,561
augustus_masked-259424_pilon-processed-gene-0.0-mRNA-1,Qrob_P0464250.2,augustus_masked-259424_pilon-processed-gene-0.0-mRNA-1,96.552,348,3.1499999999999996e-162,3.3699999999999996e-130,-32.02931934708175,571,96.552,348,3.8299999999999995e-162,2.13e-89,-72.7451808294701,571
augustus_masked-261_pilon-processed-gene-10.5-mRNA-1,Qrob_P0735920.2,augustus_masked-261_pilon-processed-gene-10.5-mRNA-1,98.074,675,0,3.12e-78,-Inf,1159,98.074,675,0,5.93e-76,-Inf,1159
augustus_masked-261_pilon-processed-gene-25.3-mRNA-1,Qrob_P0437830.2,augustus_masked-261_pilon-processed-gene-25.3-mRNA-1,98.217,1851,0,2.87e-33,-Inf,3190,98.217,1851,0,1.37e-38,-Inf,3190
augustus_masked-261_pilon-processed-gene-31.6-mRNA-1,Qrob_P0583930.2,augustus_masked-261_pilon-processed-gene-31.6-mRNA-1,92.812,320,2.01e-135,3.42e-12,-123.23083004863565,481,92.812,320,2.15e-135,2.15e-135,0,481
augustus_masked-261_pilon-processed-gene-4.4-mRNA-1,Qrob_P0338560.2,augustus_masked-261_pilon-processed-gene-4.4-mRNA-1,97.471,1384,0,1.3599999999999999e-46,-Inf,2353,97.471,1384,0,2.36e-34,-Inf,2353
augustus_masked-261_pilon-processed-gene-4.5-mRNA-1,Qrob_P0338570.2,augustus_masked-261_pilon-processed-gene-4.5-mRNA-1,97.629,717,0,5.35e-103,-Inf,1215,97.629,717,0,6.689999999999999e-158,-Inf,1215
augustus_masked-261_pilon-processed-gene-43.3-mRNA-1,Qrob_P0297620.2,augustus_masked-261_pilon-processed-gene-43.3-mRNA-1,96.339,437,0,9.72e-32,-Inf,717,96.339,437,0,6.92e-135,-Inf,717
augustus_masked-261_pilon-processed-gene-43.5-mRNA-1,Qrob_P0297630.2,augustus_masked-261_pilon-processed-gene-43.5-mRNA-1,99.142,816,0,1.55e-13,-Inf,1437,99.142,816,0,1.59e-14,-Inf,1437
augustus_masked-261_pilon-processed-gene-52.6-mRNA-1,Qrob_P0501810.2,augustus_masked-261_pilon-processed-gene-52.6-mRNA-1,96.316,1846,0,4.4699999999999995e-31,-Inf,3020,96.316,1846,0,4.5999999999999996e-32,-Inf,3020
augustus_masked-261_pilon-processed-gene-55.6-mRNA-1,Qrob_P0271980.2,augustus_masked-261_pilon-processed-gene-55.6-mRNA-1,99.048,840,0,1.49e-48,-Inf,1480,99.048,840,0,NA,NA,1480
augustus_masked-261_pilon-processed-gene-57.6-mRNA-1,Qrob_P0258730.2,augustus_masked-261_pilon-processed-gene-57.6-mRNA-1,97.814,549,0,1.07e-19,-Inf,937,97.814,549,0,4.79e-19,-Inf,937
augustus_masked-261_pilon-processed-gene-64.12-mRNA-1,Qrob_P0299600.2,augustus_masked-261_pilon-processed-gene-64.12-mRNA-1,98.397,3057,0,9.2e-36,-Inf,5292,98.397,3057,0,2.27e-38,-Inf,5292
augustus_masked-261_pilon-processed-gene-64.5-mRNA-1,Qrob_P0299660.2,augustus_masked-261_pilon-processed-gene-64.5-mRNA-1,96.522,690,0,1.12e-20,-Inf,1135,96.522,690,0,7.87e-24,-Inf,1135
augustus_masked-261_pilon-processed-gene-7.11-mRNA-1,Qrob_P0588910.2,augustus_masked-261_pilon-processed-gene-7.11-mRNA-1,92.933,283,1.94e-116,1.0099999999999999e-56,-59.71651964385242,420,92.933,283,1.4e-116,1.3099999999999999e-110,-5.971143259977538,420
augustus_masked-261_pilon-processed-gene-74.13-mRNA-1,Qrob_P0304400.2,augustus_masked-261_pilon-processed-gene-74.13-mRNA-1,97.855,606,0,3.14e-33,-Inf,1039,97.855,606,0,0,NA,1039
augustus_masked-261_pilon-processed-gene-77.15-mRNA-1,Qrob_P0630870.2,augustus_masked-261_pilon-processed-gene-77.15-mRNA-1,96.503,429,0,1.9299999999999997e-173,-Inf,707,96.503,429,0,3.69e-57,-Inf,707
augustus_masked-261_pilon-processed-gene-78.11-mRNA-1,Qrob_P0632360.2,augustus_masked-261_pilon-processed-gene-78.11-mRNA-1,98.408,3705,0,1.19e-98,-Inf,6417,98.408,3705,0,1.8500000000000001e-97,-Inf,6417
augustus_masked-261_pilon-processed-gene-78.2-mRNA-1,Qrob_P0632410.2,augustus_masked-261_pilon-processed-gene-78.2-mRNA-1,97.472,1068,0,5.37e-8,-Inf,1805,97.472,1068,0,0,NA,1805
augustus_masked-261_pilon-processed-gene-79.2-mRNA-1,Qrob_P0632290.2,augustus_masked-261_pilon-processed-gene-79.2-mRNA-1,96.831,915,0,2.0599999999999997e-31,-Inf,1519,96.831,915,0,4.21e-54,-Inf,1519
augustus_masked-261_pilon-processed-gene-87.8-mRNA-1,Qrob_P0725960.2,augustus_masked-261_pilon-processed-gene-87.8-mRNA-1,86.402,353,1.66e-124,2.18e-15,-109.11834840556456,445,86.402,353,2.1899999999999997e-124,4.85e-6,-118.34529762376214,445
augustus_masked-261457_pilon-processed-gene-0.4-mRNA-1,Qrob_P0261400.2,augustus_masked-261457_pilon-processed-gene-0.4-mRNA-1,94.444,522,0,3.4699999999999996e-133,-Inf,797,94.444,522,0,0,NA,797
augustus_masked-261457_pilon-processed-gene-0.5-mRNA-1,Qrob_P0261440.2,augustus_masked-261457_pilon-processed-gene-0.5-mRNA-1,97.735,927,0,3.7999999999999997e-47,-Inf,1578,97.735,927,0,8.24e-57,-Inf,1578
augustus_masked-262_pilon-processed-gene-1.4-mRNA-1,Qrob_P0297240.2,augustus_masked-262_pilon-processed-gene-1.4-mRNA-1,98.595,427,0,4.99e-48,-Inf,744,98.595,427,0,3.37e-69,-Inf,744
augustus_masked-262_pilon-processed-gene-11.0-mRNA-1,Qrob_P0539170.2,augustus_masked-262_pilon-processed-gene-11.0-mRNA-1,97.6,625,0,2.57e-52,-Inf,1060,97.6,625,0,0,NA,1060
augustus_masked-262_pilon-processed-gene-11.2-mRNA-1,Qrob_P0124870.2,augustus_masked-262_pilon-processed-gene-11.2-mRNA-1,98.874,444,0,9.17e-26,-Inf,779,98.874,444,0,1.43e-24,-Inf,779
augustus_masked-262_pilon-processed-gene-11.3-mRNA-1,Qrob_P0124830.2,augustus_masked-262_pilon-processed-gene-11.3-mRNA-1,99.038,312,3.23e-156,5.48e-90,-66.22957803615327,550,99.038,312,4.13e-156,5.759999999999999e-110,-46.144472431766815,550
augustus_masked-262_pilon-processed-gene-16.5-mRNA-1,Qrob_P0757560.2,augustus_masked-262_pilon-processed-gene-16.5-mRNA-1,92.07,681,0,3.81e-98,-Inf,1011,92.07,681,0,4.0699999999999994e-173,-Inf,1011
augustus_masked-262_pilon-processed-gene-16.6-mRNA-1,Qrob_P0402130.2,augustus_masked-262_pilon-processed-gene-16.6-mRNA-1,98.198,1443,0,2.2000000000000002e-97,-Inf,2486,98.198,1443,0,4.519999999999999e-107,-Inf,2486
augustus_masked-262_pilon-processed-gene-16.8-mRNA-1,Qrob_P0402090.2,augustus_masked-262_pilon-processed-gene-16.8-mRNA-1,99.159,951,0,1.7400000000000003e-21,-Inf,1680,99.159,951,0,3.2100000000000004e-33,-Inf,1680
augustus_masked-262_pilon-processed-gene-2.1-mRNA-1,Qrob_P0297190.2,augustus_masked-262_pilon-processed-gene-2.1-mRNA-1,99.487,195,1.71e-95,3.77e-34,-61.343345239813644,348,99.487,195,3.74e-95,2.2199999999999996e-47,-47.77348137225016,348
augustus_masked-262_pilon-processed-gene-2.9-mRNA-1,Qrob_P0108310.2,augustus_masked-262_pilon-processed-gene-2.9-mRNA-1,99.105,447,0,9.169999999999999e-178,-Inf,789,99.105,447,0,6.939999999999999e-168,-Inf,789
augustus_masked-262_pilon-processed-gene-20.2-mRNA-1,Qrob_P0402240.2,augustus_masked-262_pilon-processed-gene-20.2-mRNA-1,97.119,486,0,2.1099999999999998e-69,-Inf,814,97.119,486,0,0,NA,814
