	Views	Protein	Species	E-value	% identity	Align len	Strands	Query ID	Query from	Query to	Target from	Target to	Bitscore	# identical	Positives	Gaps	Query len	Target len
	phytozome-next.jgi.doe.gov/report/protein/Qrubra_v2_1/Qurub.05G148200.1	Qurub.05G148200.1	Q.rubra v2.1	6.13e-19	29	163	+/+	augustus-1014_pilon-processed-gene-5.8	45	186	41	201	83.9593	48	90	23	189	250
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.15G083900.1.p	Glyma.15G083900.1.p	G.max Wm82.a4.v1	8.00e-19	29	200	+/+	augustus-1014_pilon-processed-gene-5.8	5	187	41	240	84.3445	58	100	17	189	291
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.15G083900.1.p	Glyma.15G083900.1.p	G.max Wm82.a2.v1	8.00e-19	29	200	+/+	augustus-1014_pilon-processed-gene-5.8	5	187	41	240	84.3445	58	100	17	189	291
	phytozome-next.jgi.doe.gov/report/protein/Cdentata_v1_1/Caden.10G121500.1.p	Caden.10G121500.1.p	C.dentata v1.1	2.40e-18	30	169	+/+	augustus-1014_pilon-processed-gene-5.8	12	154	6	174	82.0333	50	78	26	189	230
	phytozome-next.jgi.doe.gov/report/protein/Qrubra_v2_1/Qurub.12G119000.1	Qurub.12G119000.1	Q.rubra v2.1	6.79e-18	29	172	+/+	augustus-1014_pilon-processed-gene-5.8	12	154	6	175	80.8777	50	78	31	189	231
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.13G269500.1.p	Glyma.13G269500.1.p	G.max Wm82.a4.v1	1.12e-17	25	211	+/+	augustus-1014_pilon-processed-gene-5.8	2	186	42	241	80.8777	53	99	37	189	269
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.13G269500.1.p	Glyma.13G269500.1.p	G.max Wm82.a2.v1	1.12e-17	25	211	+/+	augustus-1014_pilon-processed-gene-5.8	2	186	42	241	80.8777	53	99	37	189	269
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.13G269500.2.p	Glyma.13G269500.2.p	G.max Wm82.a4.v1	3.51e-15	25	211	+/+	augustus-1014_pilon-processed-gene-5.8	2	186	42	239	74.3294	52	98	39	189	267
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.13G269500.2.p	Glyma.13G269500.2.p	G.max Wm82.a2.v1	3.51e-15	25	211	+/+	augustus-1014_pilon-processed-gene-5.8	2	186	42	239	74.3294	52	98	39	189	267
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.06G107300.2.p	Glyma.06G107300.2.p	G.max Wm82.a4.v1	7.75e-14	30	135	+/+	augustus-1014_pilon-processed-gene-5.8	6	139	137	271	71.2478	40	70	1	189	356
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.06G107300.6.p	Glyma.06G107300.6.p	G.max Wm82.a4.v1	7.75e-14	30	135	+/+	augustus-1014_pilon-processed-gene-5.8	6	139	137	271	71.2478	40	70	1	189	356
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.06G107300.3.p	Glyma.06G107300.3.p	G.max Wm82.a2.v1	7.75e-14	30	135	+/+	augustus-1014_pilon-processed-gene-5.8	6	139	137	271	71.2478	40	70	1	189	356
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.06G107300.4.p	Glyma.06G107300.4.p	G.max Wm82.a2.v1	7.75e-14	30	135	+/+	augustus-1014_pilon-processed-gene-5.8	6	139	137	271	71.2478	40	70	1	189	356
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.06G107300.1.p	Glyma.06G107300.1.p	G.max Wm82.a2.v1	7.75e-14	30	135	+/+	augustus-1014_pilon-processed-gene-5.8	6	139	137	271	71.2478	40	70	1	189	356
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.06G107300.2.p	Glyma.06G107300.2.p	G.max Wm82.a2.v1	7.75e-14	30	135	+/+	augustus-1014_pilon-processed-gene-5.8	6	139	137	271	71.2478	40	70	1	189	356
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.08G140100.16.p	Glyma.08G140100.16.p	G.max Wm82.a4.v1	1.07e-13	28	178	+/+	augustus-1014_pilon-processed-gene-5.8	12	187	156	326	71.2478	49	93	9	189	375
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.08G140100.21.p	Glyma.08G140100.21.p	G.max Wm82.a2.v1	1.07e-13	28	178	+/+	augustus-1014_pilon-processed-gene-5.8	12	187	156	326	71.2478	49	93	9	189	375
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.08G140100.16.p	Glyma.08G140100.16.p	G.max Wm82.a2.v1	1.07e-13	28	178	+/+	augustus-1014_pilon-processed-gene-5.8	12	187	156	326	71.2478	49	93	9	189	375
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.08G140100.24.p	Glyma.08G140100.24.p	G.max Wm82.a2.v1	1.07e-13	28	178	+/+	augustus-1014_pilon-processed-gene-5.8	12	187	156	326	71.2478	49	93	9	189	375
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.08G140100.20.p	Glyma.08G140100.20.p	G.max Wm82.a2.v1	1.07e-13	28	178	+/+	augustus-1014_pilon-processed-gene-5.8	12	187	156	326	71.2478	49	93	9	189	375
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.08G140100.15.p	Glyma.08G140100.15.p	G.max Wm82.a2.v1	1.07e-13	28	178	+/+	augustus-1014_pilon-processed-gene-5.8	12	187	156	326	71.2478	49	93	9	189	375
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.08G140100.19.p	Glyma.08G140100.19.p	G.max Wm82.a2.v1	1.07e-13	28	178	+/+	augustus-1014_pilon-processed-gene-5.8	12	187	156	326	71.2478	49	93	9	189	375
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.08G140100.1.p	Glyma.08G140100.1.p	G.max Wm82.a4.v1	1.11e-13	28	178	+/+	augustus-1014_pilon-processed-gene-5.8	12	187	161	331	70.8626	49	93	9	189	380
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.08G140100.1.p	Glyma.08G140100.1.p	G.max Wm82.a2.v1	1.11e-13	28	178	+/+	augustus-1014_pilon-processed-gene-5.8	12	187	161	331	70.8626	49	93	9	189	380
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.06G107300.7.p	Glyma.06G107300.7.p	G.max Wm82.a4.v1	1.13e-13	29	136	+/+	augustus-1014_pilon-processed-gene-5.8	6	140	137	272	70.8626	40	70	1	189	337
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.04G254800.16.p	Glyma.04G254800.16.p	G.max Wm82.a4.v1	2.30e-13	28	144	+/+	augustus-1014_pilon-processed-gene-5.8	6	144	67	210	69.3218	41	71	5	189	286
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.04G254800.17.p	Glyma.04G254800.17.p	G.max Wm82.a4.v1	2.30e-13	28	144	+/+	augustus-1014_pilon-processed-gene-5.8	6	144	67	210	69.3218	41	71	5	189	286
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.04G254800.12.p	Glyma.04G254800.12.p	G.max Wm82.a4.v1	2.67e-13	28	144	+/+	augustus-1014_pilon-processed-gene-5.8	6	144	136	279	69.707	41	71	5	189	355
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.04G254800.9.p	Glyma.04G254800.9.p	G.max Wm82.a4.v1	2.67e-13	28	144	+/+	augustus-1014_pilon-processed-gene-5.8	6	144	136	279	69.707	41	71	5	189	355
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.04G254800.10.p	Glyma.04G254800.10.p	G.max Wm82.a4.v1	2.67e-13	28	144	+/+	augustus-1014_pilon-processed-gene-5.8	6	144	136	279	69.707	41	71	5	189	355
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.04G254800.11.p	Glyma.04G254800.11.p	G.max Wm82.a4.v1	2.67e-13	28	144	+/+	augustus-1014_pilon-processed-gene-5.8	6	144	136	279	69.707	41	71	5	189	355
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.04G254800.7.p	Glyma.04G254800.7.p	G.max Wm82.a2.v1	2.67e-13	28	144	+/+	augustus-1014_pilon-processed-gene-5.8	6	144	136	279	69.707	41	71	5	189	355
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.04G254800.2.p	Glyma.04G254800.2.p	G.max Wm82.a2.v1	2.67e-13	28	144	+/+	augustus-1014_pilon-processed-gene-5.8	6	144	136	279	69.707	41	71	5	189	355
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.04G254800.3.p	Glyma.04G254800.3.p	G.max Wm82.a2.v1	2.67e-13	28	144	+/+	augustus-1014_pilon-processed-gene-5.8	6	144	136	279	69.707	41	71	5	189	355
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.04G254800.13.p	Glyma.04G254800.13.p	G.max Wm82.a4.v1	2.68e-13	28	144	+/+	augustus-1014_pilon-processed-gene-5.8	6	144	109	252	69.707	41	71	5	189	328
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.04G254800.14.p	Glyma.04G254800.14.p	G.max Wm82.a4.v1	2.68e-13	28	144	+/+	augustus-1014_pilon-processed-gene-5.8	6	144	109	252	69.707	41	71	5	189	328
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.04G254800.15.p	Glyma.04G254800.15.p	G.max Wm82.a4.v1	2.68e-13	28	144	+/+	augustus-1014_pilon-processed-gene-5.8	6	144	109	252	69.707	41	71	5	189	328
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.04G254800.4.p	Glyma.04G254800.4.p	G.max Wm82.a2.v1	2.68e-13	28	144	+/+	augustus-1014_pilon-processed-gene-5.8	6	144	109	252	69.707	41	71	5	189	328
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.04G254800.5.p	Glyma.04G254800.5.p	G.max Wm82.a2.v1	2.68e-13	28	144	+/+	augustus-1014_pilon-processed-gene-5.8	6	144	109	252	69.707	41	71	5	189	328
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.04G254800.1.p	Glyma.04G254800.1.p	G.max Wm82.a4.v1	2.92e-13	28	144	+/+	augustus-1014_pilon-processed-gene-5.8	6	144	144	287	69.707	41	71	5	189	363
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.04G254800.8.p	Glyma.04G254800.8.p	G.max Wm82.a4.v1	2.92e-13	28	144	+/+	augustus-1014_pilon-processed-gene-5.8	6	144	144	287	69.707	41	71	5	189	363
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.04G254800.1.p	Glyma.04G254800.1.p	G.max Wm82.a2.v1	2.92e-13	28	144	+/+	augustus-1014_pilon-processed-gene-5.8	6	144	144	287	69.707	41	71	5	189	363
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.04G254800.6.p	Glyma.04G254800.6.p	G.max Wm82.a2.v1	3.28e-13	28	144	+/+	augustus-1014_pilon-processed-gene-5.8	6	144	117	260	69.3218	41	71	5	189	336
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.05G182500.1.p	Glyma.05G182500.1.p	G.max Wm82.a4.v1	4.44e-13	26	174	+/+	augustus-1014_pilon-processed-gene-5.8	16	187	158	324	69.3218	46	92	9	189	369
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.05G182500.27.p	Glyma.05G182500.27.p	G.max Wm82.a4.v1	4.45e-13	26	174	+/+	augustus-1014_pilon-processed-gene-5.8	16	187	153	319	69.3218	46	92	9	189	364
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.05G182500.28.p	Glyma.05G182500.28.p	G.max Wm82.a4.v1	4.45e-13	26	174	+/+	augustus-1014_pilon-processed-gene-5.8	16	187	153	319	69.3218	46	92	9	189	364
	phytozome-next.jgi.doe.gov/report/protein/Cdentata_v1_1/Caden.08G012600.3.p	Caden.08G012600.3.p	C.dentata v1.1	4.60e-13	27	143	+/+	augustus-1014_pilon-processed-gene-5.8	2	139	215	357	69.3218	39	72	5	189	446
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.05G182500.26.p	Glyma.05G182500.26.p	G.max Wm82.a4.v1	4.79e-13	26	174	+/+	augustus-1014_pilon-processed-gene-5.8	16	187	160	326	69.3218	46	92	9	189	371
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.05G182500.23.p	Glyma.05G182500.23.p	G.max Wm82.a4.v1	4.79e-13	26	174	+/+	augustus-1014_pilon-processed-gene-5.8	16	187	160	326	69.3218	46	92	9	189	371
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.05G182500.7.p	Glyma.05G182500.7.p	G.max Wm82.a4.v1	4.79e-13	26	174	+/+	augustus-1014_pilon-processed-gene-5.8	16	187	160	326	69.3218	46	92	9	189	371
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.05G182500.25.p	Glyma.05G182500.25.p	G.max Wm82.a4.v1	4.79e-13	26	174	+/+	augustus-1014_pilon-processed-gene-5.8	16	187	160	326	69.3218	46	92	9	189	371
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.05G182500.22.p	Glyma.05G182500.22.p	G.max Wm82.a4.v1	4.79e-13	26	174	+/+	augustus-1014_pilon-processed-gene-5.8	16	187	160	326	69.3218	46	92	9	189	371
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.05G182500.24.p	Glyma.05G182500.24.p	G.max Wm82.a4.v1	4.79e-13	26	174	+/+	augustus-1014_pilon-processed-gene-5.8	16	187	160	326	69.3218	46	92	9	189	371
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.05G182500.3.p	Glyma.05G182500.3.p	G.max Wm82.a2.v1	4.79e-13	26	174	+/+	augustus-1014_pilon-processed-gene-5.8	16	187	160	326	69.3218	46	92	9	189	371
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.05G182500.1.p	Glyma.05G182500.1.p	G.max Wm82.a2.v1	4.79e-13	26	174	+/+	augustus-1014_pilon-processed-gene-5.8	16	187	160	326	69.3218	46	92	9	189	371
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.05G182500.7.p	Glyma.05G182500.7.p	G.max Wm82.a2.v1	4.79e-13	26	174	+/+	augustus-1014_pilon-processed-gene-5.8	16	187	160	326	69.3218	46	92	9	189	371
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.05G182500.4.p	Glyma.05G182500.4.p	G.max Wm82.a2.v1	4.79e-13	26	174	+/+	augustus-1014_pilon-processed-gene-5.8	16	187	160	326	69.3218	46	92	9	189	371
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.05G182500.5.p	Glyma.05G182500.5.p	G.max Wm82.a2.v1	4.79e-13	26	174	+/+	augustus-1014_pilon-processed-gene-5.8	16	187	160	326	69.3218	46	92	9	189	371
	phytozome-next.jgi.doe.gov/report/protein/Cdentata_v1_1/Caden.08G012600.1.p	Caden.08G012600.1.p	C.dentata v1.1	4.93e-13	27	143	+/+	augustus-1014_pilon-processed-gene-5.8	2	139	215	357	69.3218	39	72	5	189	448
	phytozome-next.jgi.doe.gov/report/protein/Cdentata_v1_1/Caden.08G012600.2.p	Caden.08G012600.2.p	C.dentata v1.1	5.21e-13	27	143	+/+	augustus-1014_pilon-processed-gene-5.8	2	139	215	357	69.3218	39	72	5	189	439
	phytozome-next.jgi.doe.gov/report/protein/Qrubra_v2_1/Qurub.01G023100.1	Qurub.01G023100.1	Q.rubra v2.1	5.96e-13	27	143	+/+	augustus-1014_pilon-processed-gene-5.8	2	139	215	357	68.9366	38	72	5	189	446
	phytozome-next.jgi.doe.gov/report/protein/Cdentata_v1_1/Caden.08G012600.4.p	Caden.08G012600.4.p	C.dentata v1.1	5.99e-13	27	143	+/+	augustus-1014_pilon-processed-gene-5.8	2	139	215	357	68.9366	39	72	5	189	411
	phytozome-next.jgi.doe.gov/report/protein/Ptrichocarpa_v4_1/Potri.007G085700.2.p	Potri.007G085700.2.p	P.trichocarpa v4.1	1.03e-12	25	187	+/+	augustus-1014_pilon-processed-gene-5.8	6	187	152	331	68.1662	47	97	12	189	373
	phytozome-next.jgi.doe.gov/report/protein/Ptrichocarpa_v4_1/Potri.007G085700.3.p	Potri.007G085700.3.p	P.trichocarpa v4.1	1.03e-12	25	187	+/+	augustus-1014_pilon-processed-gene-5.8	6	187	152	331	68.1662	47	97	12	189	373
	phytozome-next.jgi.doe.gov/report/protein/Ptrichocarpa_v4_1/Potri.006G058800.4.p	Potri.006G058800.4.p	P.trichocarpa v4.1	1.79e-12	28	138	+/+	augustus-1014_pilon-processed-gene-5.8	19	146	309	446	67.781	39	67	10	189	518
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.08G140100.3.p	Glyma.08G140100.3.p	G.max Wm82.a2.v1	2.24e-12	27	157	+/+	augustus-1014_pilon-processed-gene-5.8	16	170	160	310	67.0106	43	83	8	189	319
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.08G140100.8.p	Glyma.08G140100.8.p	G.max Wm82.a2.v1	2.24e-12	27	157	+/+	augustus-1014_pilon-processed-gene-5.8	16	170	160	310	67.0106	43	83	8	189	319
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.08G140100.11.p	Glyma.08G140100.11.p	G.max Wm82.a2.v1	2.24e-12	27	157	+/+	augustus-1014_pilon-processed-gene-5.8	16	170	160	310	67.0106	43	83	8	189	319
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.08G140100.2.p	Glyma.08G140100.2.p	G.max Wm82.a2.v1	2.24e-12	27	157	+/+	augustus-1014_pilon-processed-gene-5.8	16	170	160	310	67.0106	43	83	8	189	319
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.08G140100.12.p	Glyma.08G140100.12.p	G.max Wm82.a2.v1	2.58e-12	27	161	+/+	augustus-1014_pilon-processed-gene-5.8	12	170	156	310	67.0106	44	84	8	189	328
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.08G140100.13.p	Glyma.08G140100.13.p	G.max Wm82.a2.v1	2.58e-12	27	161	+/+	augustus-1014_pilon-processed-gene-5.8	12	170	156	310	67.0106	44	84	8	189	328
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.08G140100.9.p	Glyma.08G140100.9.p	G.max Wm82.a2.v1	2.58e-12	27	161	+/+	augustus-1014_pilon-processed-gene-5.8	12	170	156	310	67.0106	44	84	8	189	328
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.08G140100.10.p	Glyma.08G140100.10.p	G.max Wm82.a2.v1	2.58e-12	27	161	+/+	augustus-1014_pilon-processed-gene-5.8	12	170	156	310	67.0106	44	84	8	189	328
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.08G140100.14.p	Glyma.08G140100.14.p	G.max Wm82.a2.v1	2.58e-12	27	161	+/+	augustus-1014_pilon-processed-gene-5.8	12	170	156	310	67.0106	44	84	8	189	328
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.08G140100.5.p	Glyma.08G140100.5.p	G.max Wm82.a2.v1	2.58e-12	27	161	+/+	augustus-1014_pilon-processed-gene-5.8	12	170	156	310	67.0106	44	84	8	189	328
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.08G140100.6.p	Glyma.08G140100.6.p	G.max Wm82.a2.v1	2.58e-12	27	161	+/+	augustus-1014_pilon-processed-gene-5.8	12	170	156	310	67.0106	44	84	8	189	328
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.08G140100.17.p	Glyma.08G140100.17.p	G.max Wm82.a2.v1	2.58e-12	27	161	+/+	augustus-1014_pilon-processed-gene-5.8	12	170	156	310	67.0106	44	84	8	189	328
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.08G140100.18.p	Glyma.08G140100.18.p	G.max Wm82.a2.v1	2.58e-12	27	161	+/+	augustus-1014_pilon-processed-gene-5.8	12	170	156	310	67.0106	44	84	8	189	328
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a2_v1/Glyma.08G140100.4.p	Glyma.08G140100.4.p	G.max Wm82.a2.v1	2.58e-12	27	161	+/+	augustus-1014_pilon-processed-gene-5.8	12	170	156	310	67.0106	44	84	8	189	328
